step,score,cells
2400,0.0,49
4800,0.0,62
7200,0.0,67
9571,0.0,76
11891,0.0,81
14216,0.0,86
16616,0.0,87
19003,0.0,90
21388,0.0,90
23771,0.0,93
26171,0.0,94
28567,0.0,99
30966,0.0,102
33366,0.0,102
35766,0.0,104
38092,0.0,108
40492,0.0,110
42892,0.0,111
45227,0.0,111
47627,0.0,114
49911,0.0,116
52301,0.0,116
54513,0.0,117
56913,0.0,119
59169,0.0,119
61490,0.0,119
63755,0.0,119
66110,0.0,121
68371,0.0,121
70633,0.0,125
72976,400.0,156
75376,400.0,246
77776,400.0,387
80172,400.0,502
82548,400.0,634
84854,400.0,734
87128,400.0,776
89528,400.0,821
91919,400.0,882
94253,400.0,956
96653,400.0,1005
99005,400.0,1033
101378,400.0,1102
103778,400.0,1137
106178,400.0,1168
108535,400.0,1215
110935,400.0,1243
113335,400.0,1273
115735,400.0,1295
118135,400.0,1334
120535,400.0,1359
122935,400.0,1385
125335,400.0,1423
127735,400.0,1457
130133,400.0,1495
132533,400.0,1527
134933,400.0,1562
137333,400.0,1584
139733,400.0,1627
142133,400.0,1648
144533,400.0,1667
146933,400.0,1676
149333,400.0,1701
151701,400.0,1709
154101,400.0,1733
156501,400.0,1746
158901,400.0,1763
161301,400.0,1776
163701,400.0,1791
166101,400.0,1811
168501,400.0,1831
170901,400.0,1850
173236,400.0,1861
175636,400.0,1885
178036,400.0,1896
180436,400.0,1922
182836,400.0,1951
185236,400.0,1973
187636,500.0,2003
190036,500.0,2013
192435,500.0,2027
194835,500.0,2039
197188,500.0,2052
199576,500.0,2062
201976,500.0,2082
204376,500.0,2097
206723,500.0,2115
209123,500.0,2131
211523,500.0,2155
213923,500.0,2174
216323,500.0,2195
218723,500.0,2206
221123,500.0,2226
223523,500.0,2239
225923,500.0,2264
228323,500.0,2271
230723,500.0,2281
233123,500.0,2292
235478,500.0,2303
237878,500.0,2320
240278,500.0,2332
242678,500.0,2334
245078,500.0,2345
247478,500.0,2358
249878,500.0,2374
252278,500.0,2387
254678,500.0,2406
257078,500.0,2425
259478,500.0,2432
261841,500.0,2441
264241,500.0,2453
266641,500.0,2473
269041,600.0,2487
271441,600.0,2503
273797,600.0,2508
276197,600.0,2513
278583,600.0,2525
280924,600.0,2527
283324,600.0,2536
285724,600.0,2540
288124,600.0,2549
290524,600.0,2567
292876,600.0,2577
295276,2500.0,2584
297676,2500.0,2589
300071,2500.0,2594
302471,2500.0,2612
304871,2500.0,2626
307271,2500.0,2640
309671,2500.0,2644
312071,2500.0,2649
314471,2500.0,2655
316871,2500.0,2664
319235,2500.0,2675
321635,2500.0,2679
324035,2500.0,2693
326435,2500.0,2701
328835,2500.0,2719
331224,2500.0,2725
333624,2500.0,2729
335986,2500.0,2737
338386,2500.0,2744
340786,2500.0,2752
343186,2500.0,2759
345586,2500.0,2769
347986,2500.0,2775
350386,2500.0,2784
352786,2500.0,2788
355101,2500.0,2793
357501,2500.0,2800
359863,2500.0,2802
362252,2500.0,2806
364652,2500.0,2822
367052,2500.0,2831
369434,2500.0,2835
371834,2500.0,2841
374234,2500.0,2849
376556,2500.0,2867
378956,2500.0,2878
381356,2500.0,2892
383756,2500.0,2900
386156,2500.0,2912
388556,2500.0,2915
390956,2500.0,2920
393356,2500.0,2927
395756,2500.0,2940
398156,2500.0,2950
400556,2500.0,2962
402956,2500.0,2972
405356,2500.0,2974
407756,2500.0,2986
410156,2500.0,2994
412556,2500.0,3002
414956,2500.0,3011
417356,2500.0,3014
419756,2500.0,3014
422156,2500.0,3018
424556,2500.0,3026
426879,2500.0,3034
429279,2500.0,3035
431679,2500.0,3042
434079,2500.0,3043
436420,2500.0,3046
438820,2500.0,3051
441210,2500.0,3056
443610,2500.0,3057
446010,2500.0,3064
448410,2500.0,3068
450810,2500.0,3078
453210,2500.0,3081
455610,2500.0,3084
457985,2500.0,3088
460365,2500.0,3098
462765,2500.0,3100
465165,2500.0,3103
467565,2500.0,3105
469965,2500.0,3113
472365,2500.0,3114
474705,2600.0,3121
477105,2600.0,3123
479472,2600.0,3125
481872,2600.0,3134
484272,2600.0,3135
486672,2600.0,3143
489072,2600.0,3150
491472,2600.0,3158
493872,2600.0,3163
496265,2600.0,3175
498665,2600.0,3186
501065,2600.0,3191
503465,2600.0,3195
505865,2600.0,3198
508265,2600.0,3199
510609,2600.0,3201
513009,2600.0,3206
515409,2600.0,3212
517809,2600.0,3221
520209,2600.0,3228
522609,2600.0,3237
525009,2600.0,3244
527409,2600.0,3253
529809,2600.0,3261
532154,2600.0,3267
534554,2600.0,3273
536954,2600.0,3282
539354,2600.0,3285
541734,2600.0,3288
544134,2600.0,3298
546534,2600.0,3302
548934,2600.0,3310
551334,2600.0,3318
553696,2600.0,3320
556096,2600.0,3328
558490,2600.0,3330
560890,2600.0,3337
563271,2600.0,3338
565671,2600.0,3342
568071,2600.0,3347
570471,2600.0,3349
572871,2600.0,3352
575233,2600.0,3354
577633,2600.0,3361
580033,2600.0,3364
582433,2600.0,3366
584833,2600.0,3367
587233,2600.0,3377
589633,2600.0,3381
592033,2600.0,3386
594433,2600.0,3389
596833,2600.0,3393
599233,2600.0,3401
601633,2600.0,3403
604033,2600.0,3410
606433,2600.0,3413
608833,2600.0,3416
611233,2600.0,3422
613633,2600.0,3424
615995,2600.0,3427
618395,4600.0,3430
620795,4600.0,3434
623195,4600.0,3438
625595,4600.0,3444
627995,4600.0,3459
630395,4600.0,3469
632795,4600.0,3470
635175,4600.0,3474
637575,4600.0,3480
639975,4600.0,3482
642337,4600.0,3487
644737,4600.0,3493
647137,4600.0,3497
649485,4600.0,3499
651885,4600.0,3503
654285,4600.0,3510
656685,4600.0,3512
659085,4600.0,3514
661485,4600.0,3520
663885,4600.0,3529
666285,4600.0,3532
668685,4600.0,3537
671085,4600.0,3542
673485,4600.0,3545
675885,4600.0,3547
678285,4600.0,3550
680685,4600.0,3550
683085,4600.0,3554
685485,4600.0,3559
687885,4600.0,3562
690262,4600.0,3563
692662,4600.0,3565
695062,4600.0,3568
697462,4600.0,3573
699773,4600.0,3580
702147,4600.0,3586
704547,4600.0,3592
706947,4600.0,3598
709347,4600.0,3606
711747,4600.0,3608
714147,4600.0,3614
716547,4600.0,3617
718947,4600.0,3620
721313,4600.0,3622
723713,4600.0,3622
726113,4600.0,3625
728461,4600.0,3639
730861,4600.0,3643
733261,4600.0,3648
735661,4600.0,3651
738061,4600.0,3659
740429,4600.0,3662
742829,4600.0,3664
745229,4600.0,3670
747629,4600.0,3673
749891,4600.0,3674
752291,4600.0,3677
754691,4600.0,3681
757091,4600.0,3687
759491,4600.0,3692
761891,4600.0,3693
764291,4600.0,3698
766691,4600.0,3704
769091,4600.0,3705
771491,4600.0,3706
773891,4600.0,3707
776291,4600.0,3715
778691,4600.0,3722
781091,4600.0,3724
783491,4600.0,3730
785891,4600.0,3731
788283,4600.0,3733
790683,4600.0,3734
793083,4600.0,3739
795483,4600.0,3741
797883,4600.0,3745
800283,4600.0,3747
802683,4600.0,3750
805083,4600.0,3751
807474,4600.0,3756
809874,4600.0,3762
812274,4600.0,3769
814674,4600.0,3769
817074,4600.0,3769
819474,4600.0,3769
821874,4600.0,3772
824274,4600.0,3774
826674,4600.0,3776
829074,4600.0,3777
831474,4600.0,3780
833874,4600.0,3783
836274,4600.0,3789
838674,4600.0,3798
841074,4600.0,3801
843474,4600.0,3804
845874,4600.0,3810
848274,4600.0,3812
850652,4600.0,3812
853052,4600.0,3815
855452,4600.0,3822
857852,4600.0,3826
860252,4600.0,3828
862652,4600.0,3828
865003,4600.0,3828
867403,4600.0,3833
869803,4600.0,3838
872172,4600.0,3841
874572,4600.0,3842
876972,4600.0,3846
879372,4600.0,3856
881772,4600.0,3861
884090,4600.0,3865
886490,4600.0,3867
888848,4600.0,3870
891248,4600.0,3872
893648,4600.0,3874
896048,4600.0,3874
898448,4600.0,3878
900848,4600.0,3884
903248,4600.0,3891
905648,4600.0,3894
908048,4600.0,3899
910448,4600.0,3903
912848,4600.0,3904
915248,4600.0,3904
917632,4600.0,3909
920032,4600.0,3914
922432,4600.0,3914
924832,4600.0,3921
927232,4600.0,3925
929632,4600.0,3927
932032,4600.0,3928
934432,4600.0,3930
936832,4600.0,3931
939232,4600.0,3931
941632,4600.0,3933
944032,4600.0,3933
946432,4600.0,3940
948832,4600.0,3942
951232,4600.0,3942
953632,4600.0,3948
956032,4600.0,3958
958432,4600.0,3960
960832,4600.0,3961
963181,4600.0,3966
965581,4600.0,3970
967981,4600.0,3970
970381,4600.0,3972
972705,4600.0,3974
975104,4600.0,3979
977504,4600.0,3985
979904,4600.0,3986
982304,4600.0,3990
984700,4600.0,3990
987100,4600.0,3992
989500,4600.0,3993
991900,4600.0,4000
994300,4600.0,4001
996700,4600.0,4006
999051,4600.0,4008
1001451,4600.0,4010
1003851,4600.0,4011
1006247,4600.0,4012
1008647,4600.0,4016
1011047,4600.0,4019
1013447,4600.0,4022
1015847,4600.0,4022
1018247,4600.0,4026
1020647,4600.0,4029
1022996,4600.0,4034
1025396,4600.0,4034
1027796,4600.0,4041
1030196,4600.0,4042
1032596,4600.0,4043
1034996,4600.0,4049
1037396,4600.0,4053
1039796,4600.0,4057
1042196,4600.0,4061
1044596,4600.0,4066
1046996,4600.0,4067
