step,score,cells
2400,0.0,57
4727,0.0,65
7108,0.0,72
9442,0.0,76
11813,0.0,79
14213,0.0,85
16596,0.0,89
18996,0.0,91
21367,0.0,94
23766,0.0,96
26129,0.0,96
28529,0.0,97
30929,0.0,97
33329,0.0,99
35690,0.0,99
38090,0.0,100
40490,0.0,100
42890,0.0,102
45290,0.0,103
47690,0.0,104
50090,0.0,104
52458,0.0,104
54858,0.0,104
57258,0.0,104
59626,0.0,105
62026,0.0,105
64426,0.0,105
66826,0.0,105
69226,0.0,106
71626,0.0,106
73946,0.0,106
76311,0.0,106
78711,0.0,106
81070,0.0,107
83470,0.0,108
85870,0.0,108
88246,0.0,109
90646,0.0,109
93046,0.0,110
95446,0.0,110
97846,0.0,110
100246,0.0,110
102646,0.0,110
105046,0.0,110
107446,0.0,110
109846,0.0,111
112246,0.0,112
114646,0.0,113
117046,0.0,113
119446,0.0,113
121846,0.0,113
124246,0.0,113
126646,0.0,113
129046,0.0,113
131446,0.0,113
133846,0.0,113
136246,0.0,113
138646,0.0,113
141046,0.0,113
143446,0.0,114
145846,0.0,114
148246,0.0,114
150646,0.0,115
153046,0.0,115
155446,0.0,115
157846,0.0,116
160246,0.0,117
162646,0.0,117
165046,0.0,117
167446,0.0,117
169846,0.0,117
172246,0.0,117
174646,0.0,119
177046,0.0,119
179446,0.0,119
181846,100.0,132
184246,100.0,150
186637,400.0,174
189037,400.0,184
191417,400.0,200
193769,400.0,208
196092,400.0,212
198424,400.0,214
200694,400.0,217
203075,400.0,223
205404,400.0,226
207577,400.0,231
209884,400.0,233
212113,400.0,235
214365,400.0,241
216621,400.0,241
218765,400.0,245
220996,400.0,285
223248,400.0,321
225481,500.0,390
227730,500.0,491
229988,500.0,585
232169,500.0,650
234214,500.0,748
236177,500.0,813
238370,600.0,881
240360,600.0,940
242654,600.0,1006
244900,600.0,1058
247261,600.0,1115
249581,600.0,1175
251826,600.0,1225
254082,600.0,1250
256354,600.0,1299
258631,600.0,1328
260854,600.0,1366
263076,600.0,1396
265192,600.0,1418
267368,600.0,1448
269594,600.0,1491
271739,600.0,1507
273929,600.0,1540
276202,600.0,1559
278336,600.0,1589
280412,600.0,1607
282736,600.0,1625
284883,600.0,1663
286897,600.0,1692
289169,600.0,1711
291401,600.0,1739
293614,600.0,1749
295842,600.0,1773
298091,600.0,1795
300418,600.0,1816
302604,600.0,1832
304848,600.0,1849
307148,600.0,1859
309454,600.0,1876
311731,600.0,1899
313991,600.0,1918
316180,600.0,1935
318440,600.0,1952
320497,600.0,1969
322639,600.0,1982
324905,600.0,1998
327133,600.0,2005
329325,600.0,2029
331619,600.0,2051
333685,600.0,2064
336012,600.0,2075
338117,600.0,2093
340434,600.0,2101
342749,600.0,2125
345069,600.0,2147
347366,600.0,2166
349620,600.0,2186
351740,600.0,2200
354052,600.0,2210
356084,600.0,2235
358322,600.0,2244
360580,600.0,2261
362716,600.0,2272
364936,600.0,2279
366997,600.0,2291
369347,600.0,2301
371581,600.0,2314
373775,600.0,2329
376006,600.0,2336
378073,600.0,2350
380305,600.0,2355
382572,600.0,2363
384876,600.0,2371
386967,600.0,2389
389204,600.0,2397
391476,600.0,2403
393561,600.0,2421
395861,600.0,2427
398254,600.0,2437
400522,600.0,2444
402685,2600.0,2460
405067,2600.0,2479
407167,2600.0,2484
409383,2600.0,2496
411722,2600.0,2512
414033,2600.0,2522
416263,2600.0,2534
418404,2600.0,2547
420502,2600.0,2551
422678,2600.0,2554
424912,2600.0,2563
427156,2600.0,2574
429466,2600.0,2577
431757,2600.0,2590
434092,2600.0,2593
436331,2600.0,2596
438650,2600.0,2600
440938,2600.0,2608
443162,2600.0,2615
445503,2600.0,2629
447753,2600.0,2639
449941,2600.0,2646
452291,2600.0,2660
454489,2600.0,2676
456719,2600.0,2696
458850,2600.0,2705
461147,2600.0,2711
463390,2600.0,2721
465694,2600.0,2733
467875,2600.0,2740
469943,2600.0,2749
472210,2600.0,2761
474469,2600.0,2770
476695,2600.0,2783
479032,2600.0,2790
481234,2600.0,2795
483308,2600.0,2808
485453,2600.0,2818
487581,2600.0,2825
489845,2600.0,2834
492043,2600.0,2844
494313,2600.0,2864
496378,2600.0,2867
498553,2600.0,2878
500777,2600.0,2882
502964,2600.0,2886
505066,2600.0,2896
507300,2600.0,2902
509267,2600.0,2907
511536,2600.0,2922
513687,2600.0,2925
515975,2600.0,2930
518247,2600.0,2937
520553,2600.0,2946
522658,2600.0,2953
525022,2600.0,2961
527145,2600.0,2965
529205,2600.0,2967
531493,2600.0,2978
533597,2600.0,2983
535766,2600.0,2990
538034,2600.0,2997
540091,2600.0,3004
542178,2600.0,3009
544306,2600.0,3015
546447,2600.0,3020
548568,2600.0,3024
550625,2600.0,3029
552681,2600.0,3036
554823,2600.0,3036
557015,2600.0,3040
559151,2600.0,3053
561437,2600.0,3063
563623,2600.0,3068
565764,2600.0,3072
567751,2600.0,3079
569992,2600.0,3082
572094,2600.0,3084
574161,2600.0,3086
576245,2600.0,3089
578393,2600.0,3094
580532,2600.0,3097
582557,2600.0,3100
584634,2600.0,3108
586872,2600.0,3110
588937,2600.0,3116
591047,2600.0,3121
593260,2600.0,3125
595449,2600.0,3133
597682,2600.0,3134
599882,2600.0,3137
601814,2600.0,3141
604065,2600.0,3149
606104,4600.0,3155
608283,4600.0,3164
610442,4600.0,3185
612672,4600.0,3187
614668,4600.0,3188
616684,4600.0,3189
619006,4600.0,3196
620952,4600.0,3198
622646,4600.0,3201
624522,4600.0,3204
626690,4600.0,3212
628672,4600.0,3216
630772,4600.0,3221
632987,4600.0,3231
635009,4600.0,3235
637108,4600.0,3244
639181,4600.0,3254
641281,4600.0,3256
643408,4600.0,3262
645482,4600.0,3272
647340,4600.0,3278
649376,4600.0,3288
651586,4600.0,3293
653571,4600.0,3295
655811,4600.0,3301
657891,4600.0,3308
659921,4600.0,3311
661881,4600.0,3315
663847,4600.0,3325
665823,4600.0,3326
668136,4600.0,3328
670275,4600.0,3344
672204,4600.0,3346
674334,4600.0,3349
676313,4600.0,3354
678545,4600.0,3356
680603,4600.0,3364
682607,4600.0,3370
684783,4600.0,3387
686965,4600.0,3387
689012,4600.0,3392
691089,4600.0,3400
692988,4600.0,3404
694912,4600.0,3416
697123,4600.0,3427
699109,4600.0,3430
701173,4600.0,3434
703240,4600.0,3435
705226,4600.0,3439
707298,4600.0,3451
709352,4600.0,3456
711360,4600.0,3459
713323,4600.0,3465
715333,4600.0,3469
717162,4600.0,3473
719202,4600.0,3474
721291,4600.0,3478
723196,4600.0,3485
725337,4600.0,3486
727210,4600.0,3490
