step,score,cells
2400,0.0,55
4783,0.0,69
7173,0.0,73
9568,0.0,77
11968,0.0,83
14298,0.0,86
16698,0.0,93
19098,0.0,95
21498,0.0,96
23878,0.0,97
26278,0.0,98
28651,0.0,98
31051,0.0,102
33451,0.0,102
35851,0.0,103
38251,0.0,103
40651,0.0,104
43017,0.0,105
45397,0.0,105
47768,0.0,106
50168,0.0,107
52568,0.0,109
54968,0.0,109
57357,0.0,109
59728,0.0,110
62128,0.0,110
64496,0.0,110
66842,0.0,110
69207,0.0,110
71499,0.0,110
73841,0.0,110
76241,0.0,110
78641,0.0,111
81034,0.0,111
83401,0.0,113
85772,0.0,113
88142,0.0,113
90542,0.0,113
92942,0.0,113
95342,0.0,114
97742,0.0,114
100106,0.0,117
102506,100.0,121
104906,100.0,125
107306,100.0,156
109686,100.0,171
112082,400.0,186
114405,400.0,194
116705,400.0,197
118705,400.0,201
120977,400.0,209
123173,400.0,213
125451,400.0,226
127344,400.0,233
129486,400.0,237
131304,700.0,241
133293,700.0,243
135402,700.0,260
137514,700.0,324
139610,700.0,401
141829,700.0,505
143930,700.0,563
146065,700.0,669
148215,700.0,763
150498,700.0,827
152748,700.0,889
154958,700.0,972
156963,700.0,1032
159142,700.0,1065
161355,700.0,1117
163455,700.0,1167
165702,700.0,1209
167974,700.0,1271
170324,700.0,1301
172356,700.0,1331
174586,700.0,1386
176765,700.0,1420
179158,700.0,1456
181446,700.0,1503
183705,700.0,1537
185942,700.0,1561
188310,700.0,1626
190619,700.0,1652
192889,700.0,1681
194942,700.0,1694
197290,700.0,1728
199492,700.0,1762
201891,700.0,1793
204069,700.0,1811
206426,700.0,1836
208553,700.0,1864
210854,700.0,1888
213158,700.0,1908
215470,700.0,1927
217761,700.0,1945
220154,700.0,1960
222375,700.0,1985
224741,700.0,2010
227057,700.0,2039
229283,700.0,2058
231519,700.0,2072
233910,700.0,2083
236130,700.0,2100
238356,700.0,2110
240686,700.0,2138
243025,700.0,2161
245250,700.0,2172
247647,700.0,2193
249999,700.0,2200
252377,700.0,2211
254512,700.0,2223
256910,700.0,2239
259069,700.0,2256
261253,700.0,2267
263472,700.0,2284
265847,700.0,2298
268089,700.0,2316
270369,700.0,2341
272672,700.0,2351
274982,700.0,2368
277350,700.0,2389
279598,700.0,2400
281874,700.0,2419
284269,700.0,2433
286554,700.0,2442
288876,700.0,2455
291119,700.0,2460
293342,700.0,2479
295566,700.0,2487
297779,700.0,2493
300051,700.0,2499
302318,700.0,2508
304548,700.0,2522
306871,700.0,2534
309218,700.0,2544
311514,700.0,2554
313707,700.0,2564
316091,700.0,2572
318407,700.0,2586
320610,700.0,2595
323010,700.0,2609
325337,700.0,2620
327716,700.0,2622
330003,700.0,2632
332227,700.0,2644
334435,700.0,2652
336637,700.0,2661
338895,700.0,2668
341279,700.0,2677
343613,700.0,2685
345936,700.0,2689
348292,700.0,2694
350684,700.0,2710
352997,700.0,2722
355352,700.0,2729
357593,700.0,2736
359992,700.0,2743
362392,700.0,2755
364690,700.0,2765
366980,700.0,2776
369352,700.0,2779
371662,700.0,2788
373963,700.0,2797
376205,700.0,2809
378542,700.0,2830
380917,700.0,2839
383259,700.0,2854
385436,700.0,2867
387767,700.0,2874
390069,700.0,2881
392334,700.0,2897
394538,700.0,2909
396894,700.0,2924
399203,700.0,2934
401541,700.0,2941
403865,700.0,2952
406103,700.0,2958
408399,700.0,2964
410687,700.0,2968
412971,700.0,2975
415365,700.0,2983
417659,700.0,2988
420059,700.0,2996
422314,700.0,3002
424693,700.0,3007
426971,700.0,3019
429280,700.0,3029
431629,700.0,3033
433995,700.0,3042
436385,700.0,3049
438620,700.0,3054
440985,700.0,3060
443279,700.0,3067
445653,700.0,3091
447899,700.0,3092
450074,700.0,3103
452474,700.0,3104
454807,700.0,3116
457207,700.0,3125
459607,700.0,3136
461855,700.0,3138
464255,700.0,3145
466538,700.0,3148
468933,700.0,3157
471309,700.0,3161
473709,700.0,3163
476005,700.0,3169
478405,700.0,3178
480652,700.0,3187
483041,700.0,3199
485320,700.0,3202
487590,700.0,3207
489877,700.0,3212
492156,700.0,3221
494516,700.0,3227
496831,700.0,3241
