step,score,cells
2400,0.0,41
4783,0.0,60
7183,0.0,66
9583,0.0,69
11952,0.0,73
14317,0.0,77
16717,0.0,83
18979,0.0,84
21335,0.0,84
23711,0.0,89
25970,0.0,92
28318,0.0,93
30658,0.0,99
32927,0.0,102
35327,0.0,105
37676,100.0,118
40000,100.0,122
42340,100.0,139
44714,100.0,153
47094,400.0,176
49399,400.0,187
51690,400.0,210
53912,400.0,280
56302,400.0,421
58625,400.0,516
61025,400.0,611
63415,400.0,695
65815,400.0,738
68215,400.0,818
70522,400.0,890
72829,400.0,953
75201,400.0,1005
77589,400.0,1050
79942,400.0,1082
82340,400.0,1125
84740,400.0,1163
87115,400.0,1225
89477,400.0,1240
91794,400.0,1286
94194,400.0,1362
96562,400.0,1400
98962,400.0,1458
101362,400.0,1508
103762,400.0,1532
106106,400.0,1563
108409,400.0,1584
110783,400.0,1599
113183,400.0,1632
115583,400.0,1650
117983,400.0,1676
120383,400.0,1694
122783,400.0,1707
125183,400.0,1727
127583,400.0,1761
129983,400.0,1781
132383,500.0,1802
134772,500.0,1820
137141,500.0,1845
139494,500.0,1863
141867,500.0,1897
144267,500.0,1924
146667,500.0,1935
149037,500.0,1945
151437,500.0,1973
153837,500.0,1996
156237,500.0,2012
158637,500.0,2022
161031,500.0,2031
163431,500.0,2055
165831,500.0,2069
168219,500.0,2094
170619,500.0,2110
172936,500.0,2118
175336,500.0,2130
177719,500.0,2152
180119,500.0,2168
182519,500.0,2183
184823,500.0,2191
187223,500.0,2199
189542,500.0,2211
191942,500.0,2225
194316,500.0,2228
196706,500.0,2245
199025,500.0,2265
201391,500.0,2277
203791,500.0,2283
206097,500.0,2294
208497,500.0,2308
210879,500.0,2327
213279,500.0,2337
215675,500.0,2350
218075,500.0,2363
220475,500.0,2373
222875,500.0,2390
225189,500.0,2409
227589,500.0,2429
229989,500.0,2439
232389,500.0,2447
234775,500.0,2466
237175,500.0,2476
239575,500.0,2494
241975,500.0,2521
244375,500.0,2533
246775,500.0,2540
249152,500.0,2552
251552,500.0,2561
253894,500.0,2573
256294,500.0,2585
258655,500.0,2591
261002,500.0,2602
263402,500.0,2608
265802,500.0,2616
268202,500.0,2625
270602,500.0,2630
273002,500.0,2650
275402,500.0,2664
277799,500.0,2673
280199,500.0,2683
282599,500.0,2689
284999,500.0,2694
287368,500.0,2710
289768,500.0,2723
292168,500.0,2729
294568,500.0,2737
296883,500.0,2753
299283,500.0,2758
301683,500.0,2771
304083,500.0,2782
306392,500.0,2802
308792,500.0,2813
311136,500.0,2829
313486,500.0,2837
315886,500.0,2842
318286,500.0,2848
320677,500.0,2860
323077,500.0,2865
325477,500.0,2877
327830,500.0,2882
330230,500.0,2887
332630,500.0,2889
335030,2500.0,2896
337430,2500.0,2912
339830,2500.0,2922
342230,2500.0,2934
344630,2500.0,2937
347030,2500.0,2946
349425,2500.0,2954
351744,2500.0,2959
354144,2500.0,2974
356544,2500.0,2981
358944,2500.0,2989
361344,2500.0,2996
363744,2500.0,3004
366144,2500.0,3010
368544,2500.0,3014
370944,2500.0,3019
373344,2500.0,3026
375744,2500.0,3029
378144,2500.0,3039
380544,2500.0,3050
382944,2500.0,3068
385344,2500.0,3074
387744,2500.0,3082
390144,2500.0,3084
392445,2500.0,3089
394845,2500.0,3099
397245,2500.0,3115
399645,2500.0,3122
402045,2500.0,3128
404445,2500.0,3134
406845,2500.0,3142
409240,2500.0,3147
411640,2500.0,3157
414040,2500.0,3162
416440,2500.0,3173
418840,2500.0,3179
421179,2500.0,3189
423579,2500.0,3193
425870,2500.0,3206
428270,2500.0,3212
430670,2500.0,3213
433070,2500.0,3222
435463,2500.0,3227
437777,2500.0,3235
440152,2500.0,3244
442552,2500.0,3245
444952,2500.0,3254
447295,2500.0,3259
449695,2500.0,3268
452095,2500.0,3279
454481,2500.0,3287
456881,2500.0,3301
459281,2500.0,3305
461681,2500.0,3311
464049,2500.0,3318
466449,2500.0,3319
468849,2500.0,3325
471249,2500.0,3335
473587,2500.0,3341
475987,2500.0,3347
478387,2500.0,3350
480748,2500.0,3355
483148,2500.0,3357
485548,2500.0,3367
487948,2500.0,3371
490348,2500.0,3374
492748,2500.0,3378
495148,2500.0,3382
497548,2500.0,3392
499845,2500.0,3396
502159,2500.0,3401
504559,2500.0,3405
506959,2500.0,3412
509359,2500.0,3412
511759,2500.0,3415
514152,2500.0,3419
516495,2500.0,3424
518895,2500.0,3434
521295,2500.0,3436
523695,2500.0,3441
526095,2500.0,3443
528495,2500.0,3450
530895,2500.0,3450
533231,2500.0,3452
535598,2500.0,3458
537998,2500.0,3467
540315,2500.0,3473
542691,2500.0,3482
545091,2500.0,3490
547491,2500.0,3493
549891,2500.0,3496
552291,2500.0,3500
554689,2500.0,3507
557051,2500.0,3507
559451,2500.0,3511
561851,2500.0,3513
564251,2500.0,3517
566651,2500.0,3522
569051,2500.0,3524
571433,2500.0,3528
573783,2500.0,3537
576183,2500.0,3542
578583,2500.0,3550
580983,2500.0,3557
583377,2500.0,3560
585777,2500.0,3566
588128,2500.0,3568
590528,2500.0,3576
592928,2500.0,3577
595328,2500.0,3580
597666,2500.0,3584
600066,2500.0,3589
602428,2500.0,3593
604828,2500.0,3601
607228,2500.0,3603
609595,2500.0,3605
611995,2500.0,3607
614395,2500.0,3611
616795,2500.0,3612
619195,2500.0,3613
621595,2500.0,3615
623995,2500.0,3619
626353,2500.0,3630
628666,2500.0,3632
631066,2500.0,3634
633466,2500.0,3639
635849,2500.0,3649
638249,2500.0,3652
640649,2500.0,3654
643049,2500.0,3655
645449,2500.0,3659
647832,2500.0,3666
650157,2500.0,3668
652557,2500.0,3672
654957,2500.0,3675
657357,2500.0,3675
659757,2500.0,3682
662157,2500.0,3683
664476,2500.0,3684
666876,2500.0,3689
669276,2500.0,3694
671676,2500.0,3702
674076,2500.0,3706
676476,2500.0,3711
678876,2500.0,3715
681276,2500.0,3718
683676,2500.0,3721
686076,2500.0,3731
688476,2500.0,3734
690875,2500.0,3736
693239,2500.0,3743
695639,2500.0,3743
698039,2500.0,3745
700439,2500.0,3747
702839,2500.0,3749
705232,2500.0,3750
707551,2500.0,3752
709951,2500.0,3756
712351,2500.0,3757
714751,2500.0,3758
717151,2500.0,3763
719551,2500.0,3767
721951,2500.0,3772
724351,2500.0,3776
726751,2500.0,3777
729151,2500.0,3782
731551,2500.0,3785
733916,2500.0,3788
736316,2500.0,3789
738683,2500.0,3789
741082,2500.0,3792
743396,2500.0,3794
745788,2500.0,3797
748188,2500.0,3802
750588,2500.0,3807
752988,2500.0,3810
755388,2500.0,3812
757788,2500.0,3815
760188,2500.0,3819
762537,2500.0,3822
764937,2500.0,3826
767337,2500.0,3827
769683,2500.0,3828
772083,2500.0,3832
774483,2500.0,3836
776883,2500.0,3839
779283,2500.0,3846
781619,2500.0,3848
783906,2500.0,3852
786235,2500.0,3857
788635,2500.0,3862
791035,2500.0,3867
793435,2500.0,3869
795835,2500.0,3871
798233,2500.0,3871
800633,2500.0,3875
803033,2500.0,3878
805433,2500.0,3881
807768,2500.0,3883
810168,2500.0,3884
812568,2500.0,3886
814968,2500.0,3889
817368,2500.0,3892
819768,2500.0,3898
822168,2500.0,3899
824559,2500.0,3902
826934,2500.0,3909
829334,2500.0,3909
831729,2500.0,3910
834128,2500.0,3912
836528,2500.0,3921
838928,2500.0,3923
841302,2500.0,3924
843652,2500.0,3927
845900,2500.0,3930
848300,2500.0,3931
850700,2500.0,3935
853015,2500.0,3937
855415,2500.0,3938
857815,2500.0,3939
860200,2500.0,3941
862600,2500.0,3943
865000,2500.0,3945
867400,2500.0,3948
869800,2500.0,3956
872200,2500.0,3958
874600,2500.0,3959
876930,2500.0,3959
879317,2500.0,3960
881717,2500.0,3961
884117,2500.0,3966
886517,2500.0,3967
888917,2500.0,3968
891267,2500.0,3969
893667,2500.0,3970
896067,2500.0,3973
898467,2500.0,3973
900867,2500.0,3976
903267,2500.0,3980
905667,2500.0,3983
908067,2500.0,3984
910439,2500.0,3988
912839,2500.0,3990
915239,2500.0,3994
917639,2500.0,3995
920039,2500.0,3997
922439,2500.0,3999
924839,2500.0,4003
927239,2500.0,4004
929639,2500.0,4008
932039,2500.0,4013
934439,2500.0,4016
936839,2500.0,4022
939239,2500.0,4024
941639,2500.0,4024
943958,2500.0,4024
946358,2500.0,4030
948758,2500.0,4032
951107,2500.0,4036
953465,2500.0,4040
955823,2500.0,4042
958223,2500.0,4048
960623,2500.0,4053
963023,2500.0,4055
965333,2500.0,4055
967733,2500.0,4057
970115,2500.0,4058
972515,2500.0,4061
974915,2500.0,4061
977315,2500.0,4063
979715,2500.0,4065
982088,2500.0,4066
984488,2500.0,4069
986888,2500.0,4073
989288,2500.0,4073
991688,2500.0,4077
994088,2500.0,4085
996488,2500.0,4088
998854,2500.0,4092
1001254,2500.0,4098
1003654,2500.0,4099
1006039,2500.0,4102
1008439,2500.0,4105
1010839,2500.0,4107
1013239,2500.0,4109
