step,score,cells
2400,0.0,49
4739,0.0,63
7053,0.0,67
9439,0.0,71
11753,0.0,80
14150,0.0,86
16550,0.0,87
18950,0.0,89
21310,0.0,89
23697,0.0,90
26097,0.0,90
28497,0.0,92
30897,0.0,93
33279,0.0,94
35679,0.0,96
38059,0.0,96
40458,0.0,97
42858,0.0,98
45258,0.0,98
47658,0.0,99
50058,0.0,99
52458,0.0,103
54848,0.0,103
57248,0.0,103
59648,0.0,103
62005,0.0,104
64382,0.0,105
66782,0.0,106
69182,0.0,106
71582,0.0,109
73982,0.0,109
76381,0.0,109
78767,0.0,109
81167,0.0,109
83567,0.0,110
85967,0.0,111
88367,0.0,111
90767,0.0,112
93167,0.0,115
95567,0.0,115
97967,100.0,124
100367,100.0,150
102699,100.0,164
104880,100.0,168
107144,400.0,187
109360,400.0,198
111623,400.0,207
113805,400.0,209
115984,400.0,212
118180,400.0,219
120280,400.0,259
122266,400.0,356
124452,400.0,478
126569,400.0,580
128781,400.0,641
130954,400.0,712
133270,400.0,813
135445,400.0,877
137682,400.0,928
140027,400.0,977
142324,400.0,1028
144550,400.0,1073
146950,400.0,1121
149296,400.0,1164
151696,400.0,1215
153994,400.0,1254
156394,400.0,1317
158681,400.0,1360
161081,400.0,1401
163316,400.0,1437
165716,400.0,1490
168116,400.0,1534
170510,400.0,1573
172872,400.0,1607
175208,400.0,1627
177536,400.0,1653
179936,400.0,1678
182257,400.0,1706
184512,400.0,1723
186912,400.0,1746
189274,400.0,1770
191668,400.0,1805
194068,400.0,1835
196382,400.0,1858
198721,400.0,1886
201049,400.0,1914
203393,500.0,1947
205786,500.0,1956
208048,500.0,1970
210422,500.0,1985
212751,500.0,2010
215074,500.0,2042
217459,500.0,2072
219859,500.0,2083
222197,500.0,2094
224407,500.0,2102
226767,500.0,2120
229167,500.0,2134
231567,500.0,2159
233967,500.0,2173
236367,500.0,2185
238767,500.0,2195
241167,500.0,2221
243499,500.0,2232
245836,500.0,2237
248236,500.0,2249
250630,500.0,2270
253030,500.0,2279
255337,500.0,2285
257737,500.0,2301
260136,500.0,2318
262536,500.0,2332
264864,500.0,2345
267264,500.0,2348
269664,500.0,2366
272064,500.0,2385
274464,500.0,2397
276864,500.0,2412
279212,500.0,2434
281608,500.0,2450
283971,500.0,2455
286284,500.0,2470
288684,500.0,2480
291084,500.0,2492
293421,500.0,2503
295821,500.0,2525
298218,500.0,2545
300485,500.0,2559
302885,500.0,2573
305285,500.0,2589
307564,500.0,2595
309964,500.0,2618
312281,500.0,2634
314644,500.0,2648
317044,500.0,2662
319444,500.0,2667
321844,500.0,2694
324232,500.0,2698
326550,500.0,2703
328950,500.0,2706
331350,500.0,2714
333707,500.0,2724
336098,500.0,2743
338447,500.0,2748
340761,500.0,2760
343161,500.0,2771
345529,500.0,2781
347860,500.0,2791
350087,500.0,2803
352487,500.0,2805
354750,500.0,2810
357120,500.0,2822
359520,500.0,2830
361920,500.0,2841
364288,500.0,2850
366659,500.0,2862
369018,500.0,2869
371400,500.0,2879
373796,500.0,2882
376110,500.0,2887
378510,500.0,2897
380784,500.0,2902
383184,500.0,2911
385584,500.0,2914
387984,500.0,2929
390357,500.0,2955
392757,500.0,2958
395157,500.0,2967
397557,500.0,2981
399889,500.0,2983
402289,500.0,2991
404617,500.0,2992
406951,500.0,3000
409351,500.0,3016
411751,500.0,3020
414099,500.0,3029
416499,500.0,3039
418899,500.0,3050
421149,500.0,3056
423549,500.0,3065
425949,500.0,3069
428349,500.0,3080
430656,500.0,3089
432992,2500.0,3092
435312,2500.0,3099
437712,2500.0,3100
440055,2500.0,3102
442455,2500.0,3114
444780,2500.0,3115
447180,2500.0,3120
449580,2500.0,3122
451820,2500.0,3126
454220,2500.0,3136
456620,2500.0,3146
459020,2500.0,3150
461420,2500.0,3164
463749,2500.0,3166
466149,2500.0,3170
468503,2500.0,3182
470903,2500.0,3185
473303,2500.0,3196
475703,2500.0,3203
478103,2500.0,3210
480450,2500.0,3215
482850,2500.0,3219
485250,2500.0,3227
487533,2500.0,3233
489933,2500.0,3240
492333,2500.0,3242
494733,2500.0,3249
497133,2500.0,3255
499533,2500.0,3259
501933,2500.0,3266
504333,2500.0,3269
506681,2500.0,3274
509059,2500.0,3281
511456,2500.0,3284
513784,2500.0,3295
516184,2500.0,3298
518584,2500.0,3310
520984,2500.0,3326
523268,2500.0,3330
525501,2500.0,3349
527901,2500.0,3352
530219,2500.0,3361
532619,2500.0,3369
535019,2500.0,3373
537419,2500.0,3376
539819,2500.0,3388
542219,2500.0,3397
544619,2500.0,3405
546933,2500.0,3408
549333,2500.0,3415
551671,2500.0,3419
554071,2500.0,3428
556391,2500.0,3433
558791,2500.0,3438
561191,2500.0,3446
563504,2500.0,3447
565904,2500.0,3450
568304,2500.0,3454
570704,2500.0,3458
573104,2500.0,3462
575504,2500.0,3466
577904,2500.0,3477
580245,2500.0,3488
582645,2500.0,3488
584986,2500.0,3492
587386,2500.0,3495
589786,2500.0,3496
592186,2500.0,3501
594586,2500.0,3508
596899,2500.0,3511
599299,2500.0,3516
601630,2500.0,3520
604030,2500.0,3527
606430,2500.0,3538
608830,2500.0,3541
611198,2500.0,3546
613561,2500.0,3551
615961,2500.0,3553
618303,2500.0,3558
620681,2500.0,3564
623081,2500.0,3569
625468,2500.0,3571
627868,2500.0,3577
630198,2500.0,3580
632598,2500.0,3584
634998,2500.0,3589
637398,2500.0,3590
639798,2500.0,3602
642176,2500.0,3604
644519,2500.0,3610
646919,2500.0,3611
649319,2500.0,3614
651719,2500.0,3619
654119,2500.0,3620
656519,2500.0,3623
658919,2500.0,3625
661273,2500.0,3633
663673,2500.0,3642
666067,2500.0,3648
668467,2500.0,3648
670802,2500.0,3651
673133,2500.0,3652
675448,2500.0,3654
677848,2500.0,3656
680248,2500.0,3659
682648,2500.0,3659
684977,2500.0,3662
687377,2500.0,3666
689740,2500.0,3668
692140,2500.0,3669
694540,2500.0,3670
696940,2500.0,3678
699340,2500.0,3684
701730,2500.0,3685
704074,2500.0,3691
706406,2500.0,3693
708806,2500.0,3696
711206,2500.0,3700
713606,2500.0,3701
715895,2500.0,3706
718266,2500.0,3708
720666,2500.0,3716
723034,2500.0,3723
725434,2500.0,3723
727834,2500.0,3726
730205,2500.0,3732
732605,2500.0,3738
735005,2500.0,3741
737396,2500.0,3744
739796,2500.0,3747
742109,2500.0,3748
744489,2500.0,3755
746864,2500.0,3756
749264,2500.0,3758
751632,2500.0,3761
754032,2500.0,3763
756432,2500.0,3763
758832,2500.0,3765
761232,2500.0,3768
763614,2500.0,3771
766014,2500.0,3777
768414,2500.0,3779
770814,2500.0,3781
773214,2500.0,3791
775614,2500.0,3793
778014,2500.0,3796
780414,2500.0,3801
782814,2500.0,3809
785214,2500.0,3813
787602,2500.0,3817
790002,2500.0,3818
792402,2500.0,3821
794755,2500.0,3830
797155,2500.0,3836
799548,2500.0,3843
801948,2500.0,3849
804348,2500.0,3850
806661,2500.0,3856
809061,2500.0,3858
811461,2500.0,3858
813821,2500.0,3861
816221,2500.0,3864
818546,2500.0,3868
820946,2500.0,3870
823259,2500.0,3872
825627,2500.0,3875
828027,2500.0,3878
830427,2500.0,3883
832827,2500.0,3891
835181,2500.0,3894
837581,2500.0,3898
839981,2500.0,3904
842381,2500.0,3905
844763,2500.0,3910
847089,2500.0,3913
849430,2500.0,3916
851830,2500.0,3920
854226,2500.0,3920
856626,2500.0,3925
859026,2500.0,3927
861426,2500.0,3928
863826,2500.0,3929
866217,2500.0,3934
868554,2500.0,3936
870869,2500.0,3939
873269,2500.0,3945
875598,2500.0,3947
877998,2500.0,3951
880398,2500.0,3953
882798,2500.0,3957
885188,2500.0,3959
887588,2500.0,3961
889914,2500.0,3964
892313,2500.0,3971
894713,2500.0,3977
897113,2500.0,3984
899513,2500.0,3986
901913,2500.0,3990
904313,2500.0,3996
906713,2500.0,3999
909113,2500.0,4002
911506,2500.0,4004
913906,2500.0,4007
916306,2500.0,4009
918639,2500.0,4010
921032,2500.0,4011
923432,2500.0,4022
925832,2500.0,4023
928183,2500.0,4026
930583,2500.0,4029
932916,2500.0,4031
935316,2500.0,4033
937663,2500.0,4036
940063,2500.0,4039
942463,2500.0,4043
944823,2500.0,4052
947223,2500.0,4056
949623,2500.0,4061
952023,2500.0,4063
954423,2500.0,4066
956823,2500.0,4068
959185,2500.0,4069
961555,2500.0,4069
963955,2500.0,4070
966355,2500.0,4071
968755,2500.0,4076
971155,2500.0,4082
973540,2500.0,4087
975940,2500.0,4088
978340,2500.0,4091
980740,2500.0,4093
983140,2500.0,4094
985540,2500.0,4097
987869,2500.0,4098
990269,2500.0,4099
992669,2500.0,4099
995035,2500.0,4101
997435,2500.0,4103
999835,2500.0,4106
1002235,2500.0,4111
1004634,2500.0,4113
1007034,2500.0,4119
1009434,2500.0,4124
1011834,2500.0,4138
1014191,2500.0,4138
1016546,2500.0,4140
1018860,2500.0,4142
1021260,2500.0,4144
1023660,2500.0,4152
1026060,2500.0,4152
1028460,2500.0,4154
1030860,2500.0,4162
1033260,2500.0,4163
1035658,2500.0,4165
1038037,2500.0,4171
1040379,2500.0,4172
1042779,2500.0,4173
1045179,2500.0,4176
1047550,2500.0,4176
1049950,2500.0,4177
1052339,2500.0,4178
1054739,2500.0,4180
1057139,2500.0,4189
1059539,2500.0,4191
1061939,2500.0,4192
1064339,2500.0,4193
1066735,2500.0,4198
1069135,2500.0,4199
1071535,2500.0,4203
