step,score,cells
2400,0.0,48
4800,0.0,68
7169,0.0,77
9532,0.0,80
11907,0.0,82
14300,0.0,87
16678,0.0,88
19078,0.0,89
21458,0.0,91
23823,0.0,92
26223,0.0,92
28541,0.0,93
30933,0.0,93
33333,0.0,93
35724,0.0,93
38069,0.0,93
40424,0.0,93
42742,0.0,93
45142,0.0,93
47490,0.0,96
49884,0.0,98
52284,0.0,98
54684,0.0,99
57078,0.0,101
59478,0.0,102
61848,0.0,103
64248,0.0,105
66620,0.0,106
69020,0.0,106
71420,0.0,106
73820,0.0,107
76220,0.0,107
78577,0.0,108
80970,0.0,108
83370,0.0,108
85692,0.0,109
88092,0.0,109
90473,0.0,110
92873,0.0,110
95267,0.0,110
97625,0.0,110
100025,0.0,110
102425,0.0,111
104825,0.0,111
107225,0.0,111
109618,0.0,111
112018,0.0,111
114418,0.0,111
116818,0.0,111
119218,0.0,111
121606,0.0,111
124006,0.0,111
126405,0.0,111
128805,0.0,112
131182,0.0,113
133582,0.0,113
135982,0.0,114
138382,0.0,114
140779,0.0,114
143179,0.0,114
145570,0.0,114
147941,0.0,114
150341,0.0,114
152720,0.0,114
155115,0.0,115
157515,0.0,116
159915,0.0,116
162301,0.0,116
164701,0.0,116
167101,0.0,116
169501,0.0,116
171901,0.0,116
174289,0.0,116
176689,0.0,116
179089,0.0,117
181473,0.0,117
183872,0.0,117
186272,0.0,117
188671,0.0,118
191048,0.0,118
193448,0.0,118
195848,0.0,118
198248,0.0,119
200644,0.0,119
203044,0.0,119
205444,0.0,119
207844,0.0,119
210244,0.0,119
212644,0.0,119
215044,0.0,119
217424,0.0,119
219824,0.0,120
222203,0.0,120
224603,0.0,121
227003,100.0,126
229374,100.0,133
231773,100.0,148
234154,100.0,166
236373,100.0,174
238742,100.0,183
240873,100.0,186
243198,400.0,202
245343,700.0,210
247626,700.0,225
249757,700.0,233
251874,700.0,301
254108,700.0,405
256343,700.0,486
258634,700.0,575
260901,700.0,661
263177,700.0,709
265407,700.0,775
267771,700.0,835
270009,700.0,881
272272,700.0,917
274662,700.0,965
277053,700.0,998
279389,700.0,1068
281704,700.0,1104
284104,700.0,1142
286504,700.0,1201
288894,700.0,1246
291227,700.0,1279
293604,700.0,1311
295935,700.0,1337
298235,700.0,1358
300627,700.0,1385
302877,700.0,1405
305186,700.0,1439
307504,700.0,1465
309800,700.0,1492
312195,700.0,1513
314445,700.0,1541
316844,700.0,1563
319244,700.0,1584
321541,700.0,1607
323826,700.0,1632
326181,700.0,1658
328557,700.0,1676
330944,700.0,1709
333154,700.0,1734
335489,700.0,1751
337883,700.0,1783
340113,700.0,1800
342346,700.0,1811
344645,700.0,1836
346854,700.0,1864
349254,700.0,1896
351628,700.0,1912
353834,700.0,1926
356234,700.0,1948
358534,700.0,1959
360917,700.0,1980
363240,700.0,1993
365567,700.0,2013
367857,700.0,2035
370257,700.0,2051
372501,700.0,2082
374587,700.0,2097
376853,700.0,2136
379072,800.0,2155
381421,800.0,2180
383821,800.0,2194
386214,800.0,2214
388486,800.0,2223
390836,800.0,2238
393129,800.0,2243
395466,800.0,2256
397864,800.0,2288
400202,800.0,2299
402525,800.0,2312
404713,800.0,2334
407083,800.0,2353
409350,800.0,2382
411665,800.0,2397
414015,800.0,2425
416389,800.0,2436
418704,800.0,2450
420935,800.0,2465
423254,800.0,2474
425563,800.0,2486
427943,800.0,2493
430203,800.0,2518
432603,800.0,2530
434873,800.0,2553
437204,800.0,2565
439595,800.0,2577
441832,800.0,2590
444199,800.0,2598
446476,800.0,2609
448799,800.0,2623
451049,800.0,2630
453334,800.0,2651
455630,800.0,2657
