training_step,0,1,2,3,4
608839,733,359,159,366,410
611945,733,359,159,366,410
614995,733,359,159,366,410
618003,733,359,159,366,410
621084,733,359,159,366,410
624066,733,359,159,366,410
627222,733,359,159,366,410
630207,733,359,159,366,410
633237,733,359,159,366,410
636296,733,359,159,366,410
639252,733,359,159,366,410
642182,733,359,159,366,410
644970,733,359,159,366,410
647801,733,359,159,366,410
650687,733,359,159,366,400
653539,733,359,159,366,400
656519,733,359,159,366,400
659491,733,359,159,366,400
662505,733,359,159,366,400
665505,733,359,159,366,400
668527,733,359,159,366,400
671477,733,359,159,366,400
674386,733,359,159,366,400
677370,733,359,159,366,400
680365,733,359,159,366,400
683294,733,359,159,366,400
686135,733,359,159,366,400
689039,733,359,159,366,400
691961,733,359,159,366,400
694742,733,359,159,366,400
697717,733,359,159,366,400
700554,733,359,159,366,400
703415,733,359,159,366,400
706246,733,359,159,366,400
709054,733,359,159,366,400
711877,733,359,159,366,400
714647,733,359,159,366,400
717629,733,359,159,366,400
720473,733,359,159,366,400
723387,733,359,159,366,400
726177,733,359,159,366,400
728947,733,359,159,366,400
731746,733,359,159,366,400
734590,733,359,159,366,400
737381,723,359,159,366,400
740296,723,359,159,366,400
743225,723,359,159,366,400
746105,723,359,159,366,400
749049,723,359,159,366,400
751839,723,359,159,366,400
754729,713,359,159,366,400
757544,713,359,159,366,400
760435,713,359,159,366,400
763461,713,359,159,366,400
766365,713,359,159,366,400
769308,713,359,159,366,400
772175,713,359,159,366,400
775051,713,359,159,366,400
777945,713,359,159,366,400
780724,703,359,159,366,400
783579,703,359,159,366,400
786521,703,359,159,366,400
789384,703,349,159,366,400
792373,703,349,159,366,400
795344,693,349,159,366,400
798430,693,349,159,366,390
801633,693,349,159,366,390
804443,693,349,159,366,390
807569,693,349,149,356,390
810929,693,339,149,356,390
814388,693,339,149,356,380
817514,693,339,149,356,380
820615,693,339,149,356,380
823838,693,339,139,356,380
827517,693,339,139,356,380
830507,693,329,139,356,380
833804,693,329,139,356,370
837221,693,329,139,356,370
841065,693,329,139,356,370
844649,693,329,139,356,370
848148,693,329,139,356,370
851915,693,329,139,356,370
855264,693,329,139,356,370
858884,693,329,139,356,370
862317,693,329,139,356,370
865886,693,329,139,356,370
869483,693,319,139,356,370
873349,693,319,139,356,370
876965,693,319,139,356,370
880494,693,309,139,356,370
884384,693,309,139,356,370
888197,693,309,139,356,370
891713,693,309,139,356,370
895357,693,309,139,356,370
898984,693,309,139,356,370
902676,693,309,139,356,370
906020,693,299,139,356,370
909820,693,299,139,356,370
913693,693,299,139,356,370
917814,693,299,139,356,370
921537,693,299,139,356,370
925436,693,299,139,356,370
929084,693,299,139,356,370
932411,693,299,139,356,370
935655,693,299,139,356,370
939152,693,299,139,356,370
942862,693,299,139,356,370
946359,693,299,139,356,370
949981,693,299,139,356,370
953369,693,299,139,356,370
956853,693,299,139,356,370
960535,693,299,139,356,370
964168,693,299,139,356,370
967651,693,299,139,356,370
971115,693,299,139,356,370
974716,693,299,139,356,370
978321,693,299,139,356,370
982152,693,299,139,356,370
985943,693,299,139,356,370
989474,693,299,139,356,370
993136,693,299,139,356,370
996220,693,299,139,356,370
999919,693,299,139,356,370
1003555,693,299,139,356,370
1007127,693,299,139,356,370
1010670,693,299,139,356,370
1014345,693,299,139,356,370
1017790,693,299,139,356,370
1021519,693,299,139,356,370
1025332,693,299,139,356,370
1028957,693,299,139,356,370
1032650,693,299,139,356,370
1036249,693,299,139,356,370
1039660,693,299,139,356,370
1043006,693,299,139,356,370
1046443,693,299,139,356,370
1049999,693,299,139,356,370
1053355,693,299,139,356,370
1056934,693,299,139,356,370
1060465,693,299,139,356,370
1064044,693,299,139,356,370
1067481,693,299,139,356,370
1070888,693,299,139,356,370
1074079,693,299,139,356,370
1077395,693,299,139,356,370
1080717,693,299,139,356,370
1084237,683,299,139,356,370
1087486,683,299,139,356,370
1090738,683,299,139,356,370
1093887,683,299,139,356,370
1097539,673,299,139,356,360
1100807,673,299,139,356,360
1104352,673,299,139,356,360
1107752,673,299,139,356,360
1111211,673,289,139,356,360
1115094,663,289,139,346,360
1119041,663,289,139,346,360
1122800,663,289,139,346,360
1126714,663,289,139,346,360
1130904,663,289,139,346,360
1134529,653,289,139,346,360
1138593,653,289,139,346,360
1142256,653,289,139,346,360
1146189,653,289,139,346,360
1149863,653,289,139,346,360
1153767,643,289,139,346,360
1157668,643,289,139,346,360
1161648,643,289,139,346,360
1165562,643,289,129,346,360
1169495,643,289,129,346,360
1173506,633,289,129,346,360
1177373,633,289,129,346,350
1181431,633,289,119,346,350
1185603,633,289,119,346,350
1189682,633,289,119,346,350
1193936,623,289,119,346,350
1198008,623,289,119,346,350
1202070,623,289,119,346,350
1206054,623,289,119,346,350
1209908,623,289,119,346,350
1213871,613,289,119,346,350
1217823,613,289,119,346,350
1221901,613,289,119,346,350
1225741,613,289,119,346,350
1229420,603,289,119,346,350
1233320,603,289,119,346,350
1237292,603,289,119,346,340
1241068,603,289,119,346,340
1244739,593,289,119,346,340
1248339,593,289,119,346,340
1251876,593,289,119,346,340
1255930,583,279,119,346,340
1259869,583,279,119,346,340
1263464,583,279,119,346,340
1267263,583,279,119,346,340
1270957,583,269,119,346,340
1274932,573,269,119,346,340
1278729,573,269,119,346,340
1282482,573,259,119,346,340
1286044,573,259,119,346,340
1289953,573,259,119,346,340
1293968,563,259,119,346,340
1297697,563,249,119,346,340
1301429,563,249,119,346,340
1305343,563,249,119,346,340
1309245,553,249,119,346,340
1313253,553,249,119,346,340
1317166,553,239,119,346,340
1321075,553,239,119,346,340
1324944,553,239,119,346,340
1328890,553,239,119,346,340
1332748,543,239,119,346,340
1336444,543,239,119,346,340
1340187,543,239,119,346,340
1344040,543,239,119,346,340
1347952,533,239,119,346,340
1352021,533,239,119,346,340
1355598,533,239,119,346,340
1359491,533,239,119,346,340
1363263,523,239,119,346,340
1367151,523,239,119,346,340
1370884,523,239,119,346,340
1374741,523,239,119,346,340
1378477,513,239,119,346,340
1382316,513,239,119,346,340
1386185,513,239,119,346,340
1390188,513,239,119,346,340
1394108,513,239,119,346,340
1397912,503,239,119,346,340
1401713,503,239,119,346,340
1405689,503,239,119,346,340
1409537,503,239,119,346,340
1413522,503,239,119,346,340
1417425,503,239,119,346,340
1421557,493,239,119,346,340
1425682,493,239,119,346,340
1429089,493,239,119,346,340
1433119,493,239,119,346,340
1436860,483,239,119,346,340
1440685,483,239,119,346,340
1444462,483,239,119,346,340
1448031,483,239,119,346,340
1451856,483,239,119,346,340
1455414,483,239,119,346,340
1459243,473,239,119,346,340
1463317,473,239,119,346,340
1467168,473,239,119,346,340
1471038,473,239,119,346,340
1474792,473,239,119,346,340
1478846,473,239,119,346,340
1483079,463,239,119,346,340
1486836,463,239,119,346,340
