step,score,cells
2400,0.0,47
4785,0.0,59
6985,0.0,64
9343,0.0,70
11711,0.0,74
14066,0.0,80
16466,0.0,84
18805,0.0,85
21205,0.0,89
23524,0.0,92
25888,0.0,95
28228,0.0,96
30448,0.0,96
32689,0.0,97
35081,0.0,97
37440,0.0,97
39817,0.0,99
42217,0.0,101
44520,0.0,105
46766,0.0,105
49144,0.0,106
51387,0.0,106
53717,0.0,106
55960,0.0,106
58360,0.0,107
60732,0.0,109
63043,0.0,109
65439,0.0,109
67832,0.0,109
70231,0.0,109
72588,0.0,109
74964,0.0,109
77364,0.0,109
79730,0.0,109
82106,0.0,109
84425,0.0,109
86825,0.0,109
89172,0.0,109
91529,0.0,109
93916,0.0,109
96303,0.0,109
98703,0.0,109
101103,0.0,110
103492,0.0,110
105833,0.0,110
108147,0.0,110
110547,0.0,110
112904,0.0,112
115268,0.0,112
117651,0.0,112
120027,0.0,112
122392,0.0,113
124766,0.0,114
127166,0.0,114
129566,0.0,114
131966,0.0,116
134366,0.0,116
136737,0.0,117
139137,0.0,117
141537,0.0,118
143937,0.0,118
146337,0.0,118
148737,0.0,118
151122,0.0,119
153515,0.0,119
155915,0.0,119
158315,0.0,119
160708,0.0,119
163072,100.0,125
165472,100.0,156
167819,100.0,164
170207,400.0,201
172606,400.0,272
175006,400.0,375
177406,400.0,489
179802,400.0,611
182202,400.0,718
184602,400.0,780
187002,400.0,849
189402,400.0,916
191802,400.0,1015
194202,400.0,1066
196602,400.0,1105
198984,400.0,1153
201384,400.0,1204
203784,400.0,1272
206169,400.0,1317
208569,400.0,1374
210918,400.0,1416
213318,400.0,1450
215718,400.0,1483
218032,400.0,1497
220432,400.0,1531
222746,400.0,1551
225146,400.0,1569
227546,400.0,1593
229916,400.0,1610
232312,400.0,1638
234648,400.0,1669
237048,400.0,1700
239448,400.0,1725
241848,400.0,1749
244248,400.0,1777
246648,400.0,1802
249048,400.0,1834
251444,400.0,1863
253835,400.0,1880
256235,400.0,1896
258635,500.0,1911
261035,500.0,1942
263435,500.0,1962
265835,500.0,2009
268144,500.0,2027
270544,500.0,2053
272927,500.0,2072
275327,500.0,2100
277727,500.0,2120
280127,500.0,2139
282513,500.0,2150
284913,500.0,2174
287313,500.0,2180
289713,500.0,2202
292113,500.0,2219
294482,500.0,2243
296840,500.0,2267
299240,500.0,2280
301625,500.0,2295
304023,500.0,2310
306423,500.0,2319
308823,500.0,2341
311223,500.0,2353
313623,500.0,2367
316023,500.0,2375
318421,500.0,2386
320821,500.0,2395
323221,500.0,2417
325621,500.0,2431
327980,500.0,2441
330380,500.0,2453
332780,500.0,2468
335180,500.0,2489
337580,500.0,2501
339969,500.0,2520
342369,500.0,2543
344763,500.0,2552
347163,500.0,2566
349563,500.0,2574
351923,500.0,2596
354240,500.0,2602
356640,500.0,2611
358997,500.0,2627
361397,500.0,2639
363797,500.0,2643
366111,500.0,2655
368507,500.0,2665
370907,500.0,2679
373307,500.0,2691
375707,500.0,2695
378107,500.0,2711
380507,500.0,2726
382820,500.0,2732
385220,500.0,2743
387620,500.0,2745
390020,500.0,2749
392420,500.0,2757
394820,500.0,2763
397220,500.0,2772
399620,500.0,2780
401990,500.0,2788
404390,500.0,2794
406777,500.0,2800
409168,2500.0,2811
411568,2500.0,2818
413955,2500.0,2826
416293,2500.0,2843
418693,2500.0,2857
421010,2500.0,2864
423410,2500.0,2867
425810,2500.0,2882
428210,2500.0,2893
430610,2500.0,2899
432987,2500.0,2909
435387,2500.0,2914
437754,2500.0,2920
440154,2500.0,2927
442554,2500.0,2938
444954,2500.0,2941
447354,2500.0,2948
449754,2500.0,2960
452154,2500.0,2967
454554,2500.0,2977
456954,2500.0,2982
459354,2500.0,2988
461754,2500.0,2990
464133,2500.0,2994
466472,2500.0,3004
468872,2500.0,3019
471272,2500.0,3031
473672,2500.0,3039
476072,2500.0,3045
478472,2500.0,3050
480872,2500.0,3056
483245,2500.0,3060
485645,2500.0,3060
488045,2500.0,3065
490407,2500.0,3080
492807,2500.0,3090
495207,2500.0,3097
497607,2500.0,3106
500007,2500.0,3111
502407,2500.0,3117
504780,2500.0,3119
507125,2500.0,3123
509525,2500.0,3132
511925,2500.0,3144
514325,2500.0,3148
516725,2500.0,3162
519125,2500.0,3173
521507,2500.0,3181
523907,2500.0,3190
526224,2500.0,3208
528623,2500.0,3216
531023,2500.0,3219
533423,2500.0,3224
535822,2500.0,3228
538218,4500.0,3231
540618,4500.0,3233
543018,4500.0,3237
545418,4500.0,3241
547748,4500.0,3251
550148,4500.0,3257
552548,4500.0,3264
554942,4500.0,3272
557327,4500.0,3278
559727,4500.0,3282
562127,4500.0,3286
564527,4500.0,3290
566927,4500.0,3291
569327,4500.0,3299
571661,4500.0,3313
574061,4500.0,3314
576461,4500.0,3322
578861,4500.0,3328
581261,4500.0,3332
583661,4500.0,3338
586061,4500.0,3344
588461,4500.0,3350
590809,4500.0,3353
593126,4500.0,3357
595526,4500.0,3359
597926,4500.0,3369
600243,4500.0,3382
602642,4500.0,3388
605042,4500.0,3390
607442,4500.0,3395
609842,4500.0,3408
612242,4500.0,3412
614579,4500.0,3415
616979,4500.0,3424
619347,4500.0,3429
