step,score,cells
2400,0.0,60
4800,0.0,73
7200,0.0,80
9600,0.0,81
12000,0.0,81
14400,0.0,82
16800,0.0,84
19200,0.0,87
21600,0.0,89
24000,0.0,89
26400,0.0,94
28800,0.0,94
31200,0.0,99
33600,0.0,99
35905,0.0,102
38305,0.0,103
40705,0.0,104
43105,0.0,105
45505,0.0,105
47905,0.0,108
50261,0.0,108
52648,0.0,109
55006,0.0,110
57383,0.0,110
59740,0.0,110
62140,0.0,110
64494,0.0,110
66856,0.0,110
69232,0.0,110
71632,0.0,110
74032,0.0,110
76394,0.0,111
78794,0.0,111
81172,0.0,112
83572,0.0,112
85972,0.0,113
88372,0.0,113
90772,0.0,114
93172,0.0,114
95572,0.0,114
97930,0.0,114
100300,0.0,115
102636,0.0,115
105036,0.0,115
107436,0.0,115
109836,0.0,115
112236,0.0,115
114636,0.0,115
117036,0.0,115
119436,0.0,115
121836,0.0,116
124187,0.0,117
126587,100.0,121
128987,100.0,134
131387,100.0,148
133741,400.0,165
136120,400.0,200
138478,400.0,265
140753,400.0,325
142968,400.0,439
145238,400.0,557
147503,400.0,645
149824,400.0,706
152165,400.0,796
154481,400.0,847
156728,400.0,890
159045,400.0,937
161397,400.0,962
163786,400.0,1002
166017,400.0,1018
168417,400.0,1072
170749,400.0,1099
173098,400.0,1127
175272,400.0,1151
177574,400.0,1178
179906,400.0,1227
182306,400.0,1257
184476,400.0,1273
186730,400.0,1297
188922,400.0,1317
191254,400.0,1342
193540,400.0,1366
195897,400.0,1400
198146,400.0,1431
200510,400.0,1449
202864,400.0,1472
205093,400.0,1489
207453,400.0,1498
209803,400.0,1527
212139,400.0,1548
214414,400.0,1586
216756,400.0,1612
219015,400.0,1637
221186,400.0,1643
223565,400.0,1660
225878,400.0,1697
228145,400.0,1710
230382,400.0,1724
232707,400.0,1764
235077,400.0,1779
237423,400.0,1812
239769,400.0,1833
242143,400.0,1853
244465,400.0,1863
246680,400.0,1886
248997,400.0,1902
251318,400.0,1924
253718,400.0,1938
256094,400.0,1955
258494,400.0,1978
260832,400.0,1986
263103,400.0,2000
265438,400.0,2010
267787,400.0,2024
270184,400.0,2048
272511,400.0,2061
274779,400.0,2075
