step,score,cells
2400,0.0,52
4799,0.0,65
7183,0.0,71
9577,0.0,82
11947,0.0,87
14322,0.0,91
16679,0.0,92
19079,0.0,93
21479,0.0,96
23800,0.0,99
26200,0.0,99
28600,0.0,100
30841,0.0,103
33231,0.0,103
35611,0.0,103
37915,0.0,103
40236,0.0,105
42636,0.0,105
45036,0.0,105
47436,0.0,106
49836,0.0,106
52226,0.0,107
54611,0.0,107
57000,0.0,107
59400,0.0,109
61800,0.0,109
64197,0.0,110
66597,0.0,110
68997,0.0,110
71397,0.0,110
73795,0.0,110
76195,0.0,112
78595,0.0,113
80995,0.0,113
83395,0.0,113
85795,0.0,113
88114,0.0,113
90514,0.0,113
92914,0.0,113
95314,0.0,113
97714,0.0,113
100114,0.0,115
102514,0.0,115
104914,0.0,115
107301,100.0,124
109701,100.0,144
112077,100.0,160
114248,100.0,172
116617,100.0,177
119014,100.0,180
121384,100.0,182
123774,400.0,190
126174,400.0,191
128544,400.0,193
130911,400.0,232
133269,400.0,280
135608,400.0,411
137979,400.0,541
140353,400.0,667
142683,400.0,733
145023,400.0,806
147408,400.0,846
149762,400.0,882
152060,400.0,930
154428,400.0,965
156798,400.0,1009
159191,400.0,1050
161523,400.0,1094
163865,400.0,1136
166226,400.0,1157
168607,400.0,1200
170878,400.0,1250
173270,400.0,1281
175511,400.0,1297
177841,400.0,1326
180113,400.0,1369
182499,400.0,1393
184651,400.0,1424
186965,400.0,1446
189248,400.0,1488
191619,400.0,1505
193976,400.0,1554
196274,400.0,1584
198644,400.0,1599
200991,400.0,1643
203275,400.0,1663
205539,400.0,1688
207887,400.0,1714
210276,400.0,1748
212589,400.0,1781
214989,400.0,1803
217288,400.0,1819
219688,400.0,1844
222030,400.0,1862
224417,400.0,1876
226799,400.0,1902
229199,400.0,1914
231565,400.0,1931
233947,400.0,1945
236306,400.0,1957
238625,400.0,1973
240945,400.0,1992
243279,400.0,2005
245640,400.0,2018
247936,400.0,2043
250336,400.0,2060
252657,400.0,2086
255057,400.0,2105
257393,400.0,2118
259726,400.0,2123
262113,400.0,2149
264458,400.0,2165
266782,400.0,2182
269086,400.0,2188
271456,400.0,2204
273815,400.0,2221
276142,400.0,2229
278540,400.0,2244
280835,400.0,2260
283166,400.0,2280
285564,400.0,2290
287920,400.0,2310
290247,400.0,2325
292619,400.0,2330
295009,400.0,2355
297409,400.0,2367
299639,400.0,2375
302039,400.0,2392
304415,400.0,2400
306682,400.0,2407
309079,400.0,2421
311380,400.0,2436
313721,400.0,2455
316039,400.0,2469
318296,400.0,2483
320640,400.0,2488
323015,400.0,2499
325415,400.0,2509
327794,400.0,2517
330186,400.0,2528
332583,400.0,2534
334963,400.0,2541
337337,400.0,2552
339717,400.0,2559
342085,400.0,2587
344462,400.0,2606
346862,400.0,2624
349235,400.0,2633
351520,400.0,2649
353920,400.0,2656
356320,400.0,2671
358661,400.0,2688
361020,400.0,2691
363395,400.0,2710
365783,400.0,2721
368141,400.0,2732
370499,400.0,2744
372882,500.0,2751
375274,500.0,2764
377627,500.0,2776
380011,500.0,2795
382398,500.0,2802
384773,500.0,2811
387173,500.0,2840
389573,500.0,2846
391863,500.0,2851
394255,500.0,2858
396605,500.0,2866
398865,500.0,2875
401235,500.0,2882
403593,500.0,2890
405965,500.0,2895
408237,500.0,2908
410600,500.0,2917
412969,500.0,2927
415341,500.0,2930
417731,500.0,2945
420109,500.0,2951
422418,500.0,2960
424764,500.0,2974
427071,500.0,2978
429427,500.0,2983
431773,500.0,2985
434139,500.0,2994
436539,500.0,3001
438877,500.0,3013
441196,500.0,3021
443558,500.0,3023
445874,500.0,3030
448274,500.0,3038
450674,500.0,3044
453021,500.0,3051
455421,500.0,3060
457818,500.0,3067
460082,500.0,3073
462445,500.0,3082
464819,500.0,3091
467136,500.0,3097
469516,500.0,3099
471916,500.0,3113
474316,500.0,3121
476660,500.0,3125
478954,500.0,3131
481354,500.0,3137
483687,500.0,3144
486064,500.0,3148
488430,500.0,3154
490701,500.0,3157
492980,500.0,3160
495305,500.0,3170
497698,500.0,3178
500073,500.0,3179
502409,500.0,3185
504715,500.0,3190
507115,500.0,3194
509507,500.0,3195
511904,500.0,3197
514275,500.0,3203
516563,500.0,3207
518956,500.0,3219
521256,500.0,3222
523606,500.0,3232
525983,500.0,3241
528210,500.0,3251
530477,500.0,3257
532811,500.0,3260
535148,500.0,3262
537548,500.0,3273
539948,500.0,3281
542323,500.0,3284
544720,500.0,3289
547095,500.0,3294
549475,500.0,3300
551875,500.0,3311
554262,500.0,3312
556647,500.0,3318
558911,500.0,3320
561308,500.0,3326
563708,500.0,3332
566108,500.0,3334
568475,500.0,3340
570849,500.0,3346
573249,500.0,3352
575632,500.0,3359
578032,500.0,3363
580397,500.0,3366
582777,500.0,3368
585108,500.0,3376
587488,500.0,3378
589847,500.0,3385
592158,500.0,3385
594530,500.0,3389
596821,500.0,3391
599221,500.0,3394
601526,500.0,3400
603858,500.0,3405
606247,500.0,3408
608621,500.0,3417
610937,500.0,3418
613148,500.0,3422
615534,500.0,3428
617934,500.0,3432
620248,500.0,3437
622634,500.0,3441
624970,500.0,3443
627309,500.0,3447
629587,500.0,3456
631935,500.0,3457
634334,500.0,3460
636734,500.0,3462
639134,500.0,3464
641483,500.0,3473
643875,500.0,3473
646209,500.0,3477
648591,500.0,3483
650954,500.0,3485
653309,500.0,3487
