step,score,cells
2400,0.0,50
4744,0.0,74
7080,0.0,79
9421,0.0,81
11780,0.0,82
14146,0.0,84
16523,0.0,88
18923,0.0,88
21236,0.0,94
23635,0.0,95
25903,0.0,95
28261,0.0,96
30648,0.0,102
33039,0.0,103
35419,0.0,103
37790,0.0,103
40154,0.0,103
42499,0.0,104
44893,0.0,105
47253,0.0,106
49653,0.0,106
52046,0.0,106
54390,0.0,106
56779,0.0,106
59157,0.0,106
61528,0.0,106
63928,0.0,107
66328,0.0,107
68711,0.0,107
71056,0.0,107
73456,0.0,107
75856,0.0,108
78248,0.0,108
80622,0.0,108
82998,0.0,108
85338,0.0,108
87711,0.0,108
90095,0.0,108
92430,0.0,108
94830,0.0,108
97230,0.0,108
99602,0.0,108
101984,0.0,108
104383,0.0,108
106780,0.0,108
109180,0.0,109
111566,0.0,110
113966,0.0,111
116331,0.0,111
118731,0.0,111
121131,0.0,111
123478,0.0,111
125861,0.0,111
128234,0.0,111
130602,0.0,111
133002,0.0,111
135402,0.0,111
137776,0.0,111
140165,0.0,111
142565,0.0,111
144961,0.0,111
147359,0.0,111
149752,0.0,111
152152,0.0,111
154552,0.0,111
156945,0.0,111
159345,0.0,111
161745,0.0,112
164145,0.0,112
166545,0.0,112
168945,0.0,112
171345,0.0,112
173745,0.0,112
176145,0.0,112
178545,0.0,112
180937,0.0,115
183337,0.0,116
185737,0.0,116
188137,0.0,116
190537,0.0,116
192937,0.0,116
195337,0.0,117
197737,0.0,117
200137,0.0,118
202537,100.0,129
204937,100.0,144
207337,100.0,161
209737,100.0,172
212057,100.0,180
214443,100.0,186
216826,400.0,199
219225,400.0,208
221550,400.0,208
223921,400.0,212
226279,400.0,218
228553,400.0,239
230904,400.0,247
233174,400.0,268
235365,400.0,304
237552,400.0,360
239663,400.0,441
241699,400.0,519
243706,400.0,556
245779,400.0,641
247699,400.0,698
249324,400.0,743
250934,400.0,796
252841,400.0,849
254660,400.0,886
256629,400.0,929
258129,400.0,984
259983,400.0,1027
261874,400.0,1079
263570,400.0,1108
265330,400.0,1142
266908,400.0,1170
268526,400.0,1187
270602,400.0,1220
272434,400.0,1248
274131,400.0,1270
276021,400.0,1294
277955,400.0,1317
279708,400.0,1329
281623,400.0,1352
283654,400.0,1403
285606,400.0,1427
287383,400.0,1447
289007,400.0,1476
290746,400.0,1519
292437,400.0,1541
294338,400.0,1555
296037,400.0,1563
297959,400.0,1598
299687,400.0,1624
301422,400.0,1642
