step,score,cells
2400,0.0,49
4762,0.0,59
7140,0.0,65
9521,0.0,70
11820,0.0,74
14064,0.0,75
16151,0.0,79
18434,0.0,80
20768,0.0,83
22943,0.0,87
25203,0.0,89
27411,0.0,89
29666,0.0,89
31983,0.0,89
34315,0.0,92
36666,0.0,96
38944,0.0,96
41269,0.0,97
43443,0.0,98
45695,0.0,100
48089,0.0,102
50453,0.0,107
52830,0.0,109
55113,0.0,110
57468,0.0,111
59772,0.0,112
62047,0.0,113
64447,100.0,116
66760,100.0,119
69147,100.0,126
71494,100.0,130
73742,100.0,147
76068,400.0,168
78408,400.0,188
80723,400.0,192
83120,400.0,194
85312,400.0,216
87670,400.0,239
89942,400.0,321
92296,400.0,485
94676,400.0,622
96895,400.0,678
99055,400.0,749
101290,400.0,789
103563,400.0,856
105869,400.0,944
108171,400.0,988
110358,400.0,1037
112620,400.0,1070
114920,400.0,1115
117305,400.0,1146
119539,400.0,1177
121836,400.0,1206
124044,400.0,1235
126286,400.0,1258
128600,400.0,1290
130828,400.0,1313
132991,400.0,1329
135317,400.0,1350
137654,400.0,1402
140008,400.0,1420
142108,400.0,1454
144458,400.0,1524
146858,500.0,1567
149110,500.0,1599
151381,500.0,1626
153600,500.0,1665
155896,500.0,1711
158178,500.0,1733
160484,500.0,1750
162689,500.0,1782
164971,2500.0,1817
167197,2500.0,1843
169474,2500.0,1860
171831,2500.0,1874
174204,2500.0,1902
176451,2500.0,1916
178553,2500.0,1926
180662,2500.0,1937
182975,2500.0,1974
185262,2500.0,1989
187519,2500.0,2009
189771,2500.0,2024
192061,2500.0,2045
194214,2500.0,2064
196572,2500.0,2082
198784,2500.0,2111
201103,2500.0,2119
203426,2500.0,2124
205622,2500.0,2135
208008,2500.0,2146
210207,2500.0,2157
212484,2500.0,2174
214746,2500.0,2186
216952,2500.0,2201
219136,2500.0,2222
221394,2500.0,2232
223750,2500.0,2241
225972,2500.0,2251
228230,2500.0,2269
230509,2500.0,2279
232775,2500.0,2295
235127,2500.0,2312
237423,2500.0,2324
239767,2500.0,2330
241932,2500.0,2341
244332,2500.0,2351
246603,2500.0,2363
248916,2500.0,2390
251219,2500.0,2398
253424,2500.0,2416
255730,2500.0,2424
257903,2500.0,2430
260209,2500.0,2438
262289,2500.0,2444
264460,2500.0,2452
266815,2500.0,2458
269005,2500.0,2474
271177,2500.0,2484
273417,2500.0,2494
275577,2500.0,2504
277880,2500.0,2513
280020,2500.0,2531
282279,2500.0,2538
284524,2500.0,2546
286550,2500.0,2557
288735,2500.0,2561
290884,2500.0,2563
292974,2500.0,2575
295099,2500.0,2581
297352,2500.0,2587
299484,2500.0,2592
301748,2500.0,2595
304028,2500.0,2601
306299,2500.0,2611
308589,2500.0,2623
310616,2500.0,2630
312748,2500.0,2637
314957,2500.0,2649
317243,2500.0,2656
319469,2500.0,2662
321656,2500.0,2674
323787,2500.0,2676
326149,2500.0,2685
328488,2500.0,2691
330674,2500.0,2699
332999,2500.0,2710
335210,2500.0,2712
337499,2500.0,2716
339533,2500.0,2724
341709,2500.0,2737
343975,2500.0,2751
346096,2500.0,2757
348094,2500.0,2757
350086,2500.0,2764
352322,2500.0,2771
354446,2500.0,2776
356575,2500.0,2782
358613,2500.0,2794
360830,2500.0,2800
362995,2500.0,2808
365334,2500.0,2811
367614,2500.0,2814
369730,2500.0,2816
372001,2500.0,2820
374158,2500.0,2824
376433,2500.0,2830
378662,2500.0,2840
380969,2500.0,2848
382996,2500.0,2854
385119,2500.0,2870
387365,2500.0,2872
389509,2500.0,2881
391717,2500.0,2889
393860,2500.0,2905
395990,2500.0,2906
398116,2500.0,2915
400237,2500.0,2918
402581,2500.0,2930
404609,2500.0,2940
406845,2500.0,2948
408911,2500.0,2950
410973,2500.0,2954
413128,2500.0,2957
415505,2500.0,2965
417745,2500.0,2983
419784,2500.0,2993
422035,2500.0,2997
424198,2500.0,3008
426126,2500.0,3013
428357,2500.0,3024
430393,2500.0,3030
432451,2500.0,3038
434774,2500.0,3044
436788,2500.0,3053
439059,2500.0,3062
441319,2500.0,3071
443580,2500.0,3081
445713,2500.0,3090
447712,2500.0,3094
450005,2500.0,3101
452242,2500.0,3106
454380,2500.0,3114
456581,2500.0,3119
458802,2500.0,3129
460793,2500.0,3140
462954,2500.0,3144
465202,2500.0,3156
467374,2500.0,3162
469714,2500.0,3179
471977,2500.0,3189
474076,2500.0,3197
476442,2500.0,3208
478545,2500.0,3210
480679,2500.0,3219
482897,2500.0,3230
485115,2500.0,3241
487262,2500.0,3251
489479,2500.0,3255
491547,2500.0,3262
493797,2500.0,3272
495817,2500.0,3278
497857,2500.0,3287
500078,2500.0,3293
502304,2500.0,3300
504509,2500.0,3312
506688,2500.0,3319
508949,2500.0,3326
511131,2500.0,3332
513341,2500.0,3336
515481,2500.0,3347
517601,2500.0,3349
519788,2500.0,3353
521920,2500.0,3355
524268,2500.0,3359
526541,2500.0,3367
528693,2500.0,3371
530889,2500.0,3379
532907,2500.0,3384
535228,2500.0,3393
537407,2500.0,3393
539613,2500.0,3403
541994,2500.0,3411
544255,2500.0,3414
546538,2500.0,3425
548636,2500.0,3432
550891,2500.0,3443
553146,2500.0,3452
555273,2500.0,3456
557424,2500.0,3473
559623,2500.0,3478
561775,2500.0,3484
564013,2500.0,3492
566310,2500.0,3503
568549,2500.0,3508
570858,2500.0,3511
573023,2500.0,3515
575146,2500.0,3527
577380,2500.0,3529
579552,2500.0,3532
581692,2500.0,3540
583877,2500.0,3546
586103,2500.0,3552
588349,2500.0,3555
590453,2500.0,3559
592397,2500.0,3562
594620,2500.0,3571
596830,2500.0,3572
598943,2500.0,3577
601228,2500.0,3579
603308,2500.0,3587
605517,2500.0,3594
607585,2500.0,3596
609873,2500.0,3599
612197,2500.0,3600
614219,2500.0,3603
616484,2500.0,3607
618718,2500.0,3611
621031,2500.0,3615
623065,2500.0,3625
625196,2500.0,3627
627279,2500.0,3636
629434,2500.0,3641
631401,2500.0,3643
633447,2500.0,3646
635670,2500.0,3652
637775,2500.0,3657
639893,2500.0,3664
641994,2500.0,3669
644231,2500.0,3678
646394,2500.0,3679
648735,2500.0,3682
650914,2500.0,3688
653088,2500.0,3694
655285,2500.0,3697
657343,2500.0,3699
659689,2500.0,3701
661772,2500.0,3703
663909,2500.0,3707
666016,2500.0,3713
668172,2500.0,3720
670406,2500.0,3725
672653,2500.0,3728
674932,2500.0,3730
677075,2500.0,3732
679148,2500.0,3734
681231,2500.0,3736
683514,2500.0,3738
685779,2500.0,3747
687907,2500.0,3752
690054,2500.0,3755
692155,2500.0,3758
694456,2500.0,3768
696516,2500.0,3772
698694,2500.0,3775
700699,2500.0,3782
702879,2500.0,3784
705005,2500.0,3789
707073,2500.0,3791
709137,2500.0,3792
711081,2500.0,3793
713341,2500.0,3800
715319,2500.0,3804
717446,2500.0,3806
719460,2500.0,3807
721651,2500.0,3811
723875,2500.0,3812
725945,2500.0,3812
727924,2500.0,3816
730280,2500.0,3818
732429,2500.0,3822
734605,2500.0,3827
736857,2500.0,3829
738925,2500.0,3839
741202,2500.0,3844
743393,2500.0,3848
745553,2500.0,3851
747769,2500.0,3855
749985,2500.0,3855
752231,2500.0,3862
754370,2500.0,3864
756557,2500.0,3869
758884,2500.0,3872
760960,2500.0,3876
763155,2500.0,3883
765347,2500.0,3888
767484,2500.0,3891
769400,2500.0,3892
771574,2500.0,3897
773737,2500.0,3905
776112,2500.0,3910
778144,2500.0,3919
780329,2500.0,3922
782460,2500.0,3926
784603,2500.0,3928
786787,2500.0,3933
789133,2500.0,3938
791198,2500.0,3942
793365,2500.0,3948
795523,2500.0,3949
797631,2500.0,3952
799820,2500.0,3957
802073,2500.0,3958
804310,2500.0,3963
806457,2500.0,3964
808652,2500.0,3967
810857,2500.0,3967
812942,2500.0,3971
815198,2500.0,3972
817529,2500.0,3977
819737,2500.0,3982
822040,2500.0,3983
