step,score,cells
2400,0.0,55
4800,0.0,65
7194,0.0,70
9594,0.0,75
11994,0.0,79
14394,0.0,82
16794,0.0,84
19194,0.0,91
21594,0.0,91
23956,0.0,92
26356,0.0,94
28756,0.0,96
31156,0.0,96
33527,0.0,96
35927,0.0,96
38327,0.0,97
40694,0.0,97
43070,0.0,99
45470,0.0,99
47870,0.0,101
50197,0.0,101
52564,0.0,101
54964,0.0,102
57364,0.0,102
59731,0.0,103
62131,0.0,103
64487,0.0,103
66870,0.0,103
69243,0.0,107
71643,0.0,107
74043,0.0,107
76442,0.0,107
78834,0.0,107
81234,0.0,107
83621,0.0,107
86021,0.0,107
88421,0.0,108
90821,0.0,108
93221,0.0,108
95607,0.0,108
98007,0.0,108
100407,0.0,108
102788,0.0,109
105188,0.0,109
107588,0.0,109
109988,0.0,109
112364,0.0,109
114764,0.0,109
117164,0.0,109
119543,0.0,109
121943,0.0,109
124343,0.0,109
126743,0.0,109
129143,0.0,109
131543,0.0,109
133927,0.0,109
136327,0.0,109
138727,0.0,109
141127,0.0,109
143519,0.0,109
145919,0.0,109
148303,0.0,110
150703,0.0,111
153103,0.0,111
155479,0.0,111
157864,0.0,111
160254,0.0,111
162654,0.0,111
165038,0.0,112
167438,0.0,112
169833,0.0,112
172211,0.0,113
174611,0.0,115
177007,0.0,115
179407,0.0,116
181807,0.0,116
184177,0.0,116
186577,0.0,116
188977,0.0,116
191362,0.0,116
193762,0.0,116
196162,0.0,116
198562,0.0,116
200962,0.0,116
203341,0.0,117
205741,0.0,117
208140,0.0,117
210540,0.0,117
212920,0.0,117
215320,0.0,118
217720,0.0,118
220120,0.0,120
222520,0.0,120
224920,100.0,124
227320,100.0,138
229693,100.0,157
231932,100.0,169
234237,400.0,185
236461,400.0,197
238637,400.0,241
240560,400.0,381
242814,400.0,527
245214,400.0,636
247538,400.0,721
249862,400.0,782
252112,400.0,836
254489,400.0,904
256806,400.0,967
259196,400.0,1013
261551,400.0,1082
263951,400.0,1127
266322,400.0,1153
268642,400.0,1195
270956,400.0,1226
273356,400.0,1301
275716,500.0,1357
278116,500.0,1402
280516,500.0,1435
282861,500.0,1455
285261,500.0,1493
287595,500.0,1533
