training_step,0,1,2,3,4
1600,84,111,113,175,103
3200,84,111,113,175,103
4800,84,111,113,175,103
6400,84,111,113,175,103
8000,84,111,113,175,103
9600,84,111,113,175,103
11200,84,111,113,175,103
12800,84,111,113,175,103
14400,84,111,113,175,103
16000,84,111,113,175,103
17600,84,111,113,175,103
19200,84,111,113,175,103
20800,84,111,113,175,103
22450,84,111,113,175,93
24110,84,111,113,175,93
25810,84,111,103,175,93
27580,84,101,103,175,93
29340,84,101,103,175,93
31110,84,101,103,175,93
32930,84,101,103,175,93
34650,84,101,103,175,93
36460,84,91,103,175,93
38430,84,91,103,165,83
40360,84,91,103,165,83
42430,84,91,93,165,83
44500,84,81,93,165,83
46490,84,81,93,165,83
48650,84,81,93,165,73
50770,84,81,93,165,73
53000,84,81,93,165,73
55170,84,71,93,155,73
57470,84,71,93,155,73
59740,84,71,93,155,73
62110,84,71,93,155,73
64290,84,71,93,155,73
66640,84,71,93,145,73
68990,84,71,93,145,63
71340,84,71,93,145,63
73650,84,71,93,145,63
76020,84,71,93,145,63
78470,84,71,93,145,63
80900,84,71,93,135,63
83560,84,71,93,135,63
85920,84,71,93,135,63
88560,84,71,93,135,63
91040,84,71,93,135,63
93670,84,71,93,125,63
96260,84,71,93,125,63
98840,84,71,93,125,63
101320,84,71,93,125,63
103900,84,71,93,115,63
106440,84,71,93,115,63
108980,84,71,93,115,63
111760,84,71,93,115,63
114540,84,71,93,115,63
117160,84,71,93,115,63
119740,84,71,93,115,63
122140,84,71,93,115,63
124680,84,71,93,115,63
127240,84,71,93,115,63
129920,84,71,93,115,63
132620,84,71,93,105,63
135530,84,71,93,105,63
138130,84,71,93,105,63
140680,84,71,93,105,63
143260,84,71,93,105,63
146280,84,71,93,95,63
149060,84,71,93,95,63
151480,84,71,93,95,63
154300,84,71,93,95,63
157140,84,71,93,95,63
159880,84,71,93,95,63
162580,84,71,93,95,63
165440,84,71,93,95,63
167860,84,71,93,95,63
170400,84,71,93,95,63
172980,84,71,93,95,63
175640,84,71,93,95,63
178220,84,71,93,95,63
180960,84,71,93,95,63
183560,84,71,93,95,63
186460,84,71,93,95,63
189160,84,71,93,95,63
192090,84,61,93,95,63
195070,84,61,93,85,53
198050,84,61,93,85,53
201190,84,61,93,85,53
203910,84,51,93,85,53
206930,84,51,93,85,53
209820,84,51,93,85,43
212950,84,51,93,85,43
215980,84,51,93,85,43
218980,84,51,93,85,43
222220,84,51,93,85,43
225250,84,51,93,85,43
228460,84,51,93,85,43
231540,84,51,93,85,43
234480,84,51,93,85,43
237170,84,51,93,85,43
240090,84,51,93,85,43
243440,84,51,93,85,43
246670,84,51,93,85,43
249570,84,51,93,85,43
252840,84,51,93,85,43
255710,84,51,93,85,43
258770,84,51,93,85,43
261870,84,51,93,85,43
264870,84,51,93,85,43
267710,84,51,93,85,43
270520,84,51,93,85,43
273750,84,51,93,85,43
276720,84,51,93,85,43
279900,84,51,93,85,43
282810,84,51,93,85,43
285710,84,51,93,85,43
288930,84,51,93,85,43
292140,84,51,93,85,43
295190,84,51,93,85,43
298300,84,51,93,85,43
301290,84,51,93,85,43
304350,84,51,93,85,43
307370,84,51,93,85,43
310510,84,51,93,85,43
313450,84,51,93,85,43
316470,84,51,93,85,43
319570,84,51,93,85,43
322970,84,51,93,85,43
325810,84,51,93,85,43
329070,84,51,93,85,43
332140,84,51,93,85,43
335290,84,51,93,85,43
338350,84,51,93,85,43
341490,84,51,93,85,43
344410,84,51,93,85,43
347240,84,51,93,85,43
350460,84,51,93,75,43
353740,84,51,93,75,43
356780,84,51,93,75,43
360340,84,51,93,75,43
363560,84,51,93,65,43
366850,84,51,93,65,43
369760,84,51,93,65,43
373100,84,51,93,65,43
376560,84,51,93,65,43
380000,84,51,93,65,43
382990,84,51,93,65,33
386010,84,51,93,65,33
389490,84,51,93,55,33
392900,84,51,93,55,33
396180,84,41,93,55,33
399450,74,41,83,55,33
402600,74,41,83,55,33
406770,74,41,83,45,33
410110,74,41,83,45,33
414150,74,41,73,45,33
417730,74,41,73,45,23
421630,74,41,73,35,23
425620,74,41,73,35,23
429140,74,41,73,35,23
432770,74,41,63,35,23
436390,74,41,63,35,23
440660,74,41,63,25,23
444790,74,41,63,25,23
448910,74,41,63,25,23
452730,74,41,53,25,23
456730,74,41,53,25,23
460830,74,41,53,25,23
464850,74,41,53,25,23
468670,74,41,53,25,23
472750,74,41,43,25,23
476640,64,41,43,25,23
480350,64,41,43,25,23
484710,64,41,43,25,23
488580,64,41,43,25,23
492850,64,41,43,25,23
497110,64,41,33,25,23
501400,64,41,33,25,23
505480,64,41,33,25,23
509650,64,41,33,25,23
513590,64,41,33,25,23
517350,64,41,33,25,23
521490,64,41,33,25,23
525550,64,41,33,25,23
529820,64,41,33,25,23
533620,64,41,33,25,23
537780,64,41,33,25,23
542100,64,41,33,25,23
546210,64,41,33,25,23
550510,64,41,33,25,23
554600,64,41,33,25,23
558970,64,41,23,25,23
563330,64,31,23,25,23
567620,64,31,23,25,23
571790,64,31,23,25,23
575910,64,31,23,25,23
580280,64,31,23,25,23
584940,64,31,23,25,23
589110,64,31,23,25,23
593260,64,31,23,25,23
597290,64,31,23,25,23
601480,64,31,23,25,23
605330,64,31,23,25,23
609490,64,31,23,25,23
613510,64,31,23,25,23
617710,64,31,23,25,23
621710,54,31,23,25,23
626350,54,31,23,25,23
630930,54,31,23,25,23
635110,54,31,23,25,23
639680,54,31,23,25,23
644070,54,31,23,25,23
648540,54,31,23,25,23
652790,54,31,23,25,23
657080,54,31,23,25,23
661600,54,31,23,25,23
665840,54,31,23,25,23
670610,54,31,23,25,23
674500,54,31,23,25,23
678900,54,31,23,25,23
683200,54,31,23,25,23
687490,54,31,23,25,23
691900,54,31,23,25,23
696200,54,31,23,25,23
700720,54,31,23,25,23
704740,54,31,23,25,23
709080,54,31,23,25,23
713660,54,31,23,25,23
718120,54,31,23,25,23
722520,54,31,23,25,23
727120,54,31,23,25,23
731360,54,31,23,25,23
735590,54,31,23,25,23
739840,54,31,23,25,23
744170,54,31,23,25,23
748480,54,31,23,25,23
752810,54,31,23,25,23
756910,54,31,23,25,23
760990,54,31,23,25,23
765260,54,31,23,25,23
769530,54,31,23,25,23
774030,54,31,23,25,23
778280,54,31,23,25,23
782540,44,31,23,25,23
786960,44,31,23,25,23
791520,44,31,23,25,23
795820,44,31,23,25,23
799860,44,31,23,25,23
804360,44,31,23,25,23
808970,44,21,23,25,23
813500,44,21,23,25,23
817740,44,21,23,25,23
822360,44,21,23,15,23
826650,44,21,23,15,23
831280,44,21,23,15,23
835670,44,21,23,15,23
840070,44,21,23,15,23
844570,44,21,23,15,23
849520,44,21,23,15,23
854380,44,21,23,15,23
859260,44,21,23,15,23
863400,44,21,23,15,23
867910,44,21,23,15,23
872110,44,21,23,15,23
876680,44,21,23,15,23
881240,44,21,23,15,23
885930,44,21,23,15,23
890850,44,21,23,15,23
895490,44,21,23,15,23
900480,44,21,23,15,23
905320,44,21,23,15,23
909440,44,21,23,15,23
913630,44,21,23,15,23
917990,44,21,23,15,23
922510,44,21,23,15,23
927140,44,21,23,15,23
931570,44,21,23,15,23
936460,44,21,23,15,23
940730,44,21,23,15,23
945040,44,21,23,15,23
949220,44,21,23,15,23
953890,44,21,23,15,23
957950,34,21,23,15,23
962380,34,21,23,15,23
966880,34,21,13,15,23
971620,34,21,13,15,23
976160,34,21,13,15,23
980420,34,21,13,15,23
985060,34,21,13,15,23
989970,34,21,13,15,23
994480,34,21,13,15,23
999170,34,21,13,15,23
1003850,24,21,13,15,23
1008650,24,21,13,15,23
1013360,24,21,13,15,23
1017720,24,21,13,15,23
1022490,24,21,13,15,23
1027050,24,21,13,15,23
1032040,24,21,13,15,23
1036600,24,21,13,15,23
1041500,24,21,13,15,23
1046320,24,21,13,15,23
1050980,24,21,13,15,23
1055480,24,21,13,15,23
1060330,24,21,13,15,23
1065390,24,21,13,15,13
1070240,14,21,13,15,13
1075080,14,21,13,15,13
1079890,14,21,13,15,13
1084390,14,21,13,15,13
1089230,14,21,13,15,13
1094330,14,21,13,15,13
1099200,14,21,13,15,13
1103970,14,21,13,15,13
1108980,14,21,13,15,13
1113580,14,21,13,15,13
1118560,14,21,13,15,13
1123270,14,21,13,15,13
1127970,14,21,13,15,13
1133270,14,21,13,15,13
1138240,14,21,13,15,13
1143010,14,21,13,15,13
1147960,14,21,13,15,13
1152590,14,21,13,15,13
1157270,14,21,13,15,13
1162060,14,21,13,15,13
1167050,14,21,13,15,13
1171790,14,21,13,15,13
1176490,14,21,13,15,13
1181440,14,21,13,15,13
1186370,14,21,13,15,13
1191320,14,21,13,15,13
1196370,14,21,13,15,13
1201240,14,21,13,15,13
1206330,14,21,13,15,13
1211050,14,21,13,15,13
1216010,14,21,3,15,13
1220710,14,21,3,15,13
1225670,14,21,3,15,13
1230620,14,21,3,15,13
1235540,14,21,3,15,13
1240960,14,21,3,5,13
1245880,14,21,3,5,13
1251040,14,21,3,5,13
1256040,14,21,3,5,13
1261160,14,21,3,5,13
1265820,14,21,3,5,13
1271260,14,21,3,5,13
1276240,14,21,3,5,13
1281040,14,21,3,5,13
1285860,14,21,3,5,13
1290840,14,21,3,5,13
1295600,14,21,3,5,13
1300620,14,21,3,5,13
1305360,14,21,3,5,13
1310100,14,21,3,5,13
1315180,14,21,3,5,13
1320780,14,21,3,5,13
1325540,14,21,3,5,13
1330300,14,21,3,5,13
1335360,4,21,3,5,13
1340420,4,21,3,5,13
1345590,4,21,3,5,13
1350620,4,21,3,5,13
1355810,4,21,3,5,13
1361090,4,21,3,5,13
1366200,4,21,3,5,13
1370850,4,11,3,5,13
1376010,4,11,3,5,13
1381060,4,11,3,5,13
1385880,4,11,3,5,13
1390880,4,11,3,5,13
1396160,4,11,3,5,13
1401450,4,11,3,5,13
1406825,4,11,3,0,13
1411990,4,11,3,0,13
1417250,4,11,3,0,13
1422460,4,11,3,0,13
1427180,4,11,3,0,13
1432100,4,11,3,0,13
1437465,4,11,3,0,13
1442370,4,11,3,0,13
1447780,4,11,3,0,13
1452740,4,11,3,0,13
1458120,4,11,3,0,13
1463770,4,11,3,0,13
1469015,4,11,3,0,13
1474595,4,11,3,0,13
1479710,4,11,3,0,13
1484745,4,11,3,0,13
1490160,4,11,3,0,13
1495175,4,11,3,0,13
1500440,4,11,3,0,13
1505825,4,11,3,0,13
1510575,4,11,3,0,13
1516055,4,11,3,0,13
1521195,4,11,3,0,13
1526495,4,11,3,0,13
1531720,4,11,3,0,13
