step,score,cells
2400,0.0,45
4800,0.0,56
7186,0.0,64
9445,0.0,68
11845,0.0,79
14176,0.0,82
16557,0.0,82
18914,0.0,86
21235,0.0,91
23526,0.0,92
25810,0.0,94
28174,0.0,96
30557,0.0,97
32875,0.0,98
35264,0.0,98
37664,0.0,98
40064,0.0,99
42458,0.0,99
44851,0.0,100
47240,0.0,101
49625,0.0,101
52006,0.0,104
54385,0.0,104
56775,0.0,106
59175,0.0,106
61523,0.0,107
63914,0.0,107
66303,0.0,108
68663,0.0,109
71033,0.0,109
73433,0.0,109
75825,0.0,110
78183,0.0,110
80533,0.0,110
82868,0.0,111
85221,0.0,113
87575,0.0,113
89879,0.0,113
92252,0.0,113
94644,0.0,115
97031,0.0,116
99429,0.0,116
101829,0.0,116
104229,0.0,116
106615,0.0,116
108994,0.0,116
111383,0.0,116
113769,0.0,116
116167,0.0,116
118567,0.0,117
120966,0.0,117
123345,0.0,117
125733,0.0,117
128133,0.0,117
130516,0.0,117
132888,0.0,117
135288,0.0,117
137647,0.0,117
140031,0.0,117
142376,0.0,117
144776,0.0,117
147176,0.0,117
149551,0.0,117
151917,0.0,119
154317,0.0,120
156692,0.0,120
159092,0.0,120
161458,0.0,120
163816,100.0,124
166216,100.0,132
168616,100.0,146
170959,100.0,156
173320,100.0,184
175649,100.0,189
177882,100.0,194
180169,400.0,204
182429,400.0,209
184635,400.0,211
187001,400.0,215
189093,400.0,224
191041,400.0,232
193062,400.0,261
195125,400.0,312
197102,400.0,336
198876,400.0,366
200579,400.0,380
202308,400.0,439
204289,400.0,522
205764,400.0,608
207482,400.0,669
209021,400.0,731
210466,400.0,784
212043,400.0,825
213755,400.0,894
215534,400.0,952
217002,400.0,994
218479,400.0,1023
220075,400.0,1070
221797,400.0,1139
223496,400.0,1178
224813,400.0,1218
226284,400.0,1253
227406,400.0,1285
228990,400.0,1322
230315,400.0,1348
231663,400.0,1366
233220,400.0,1390
234720,400.0,1432
236093,400.0,1455
237870,400.0,1488
239190,400.0,1498
240505,400.0,1520
242160,400.0,1545
243699,400.0,1579
245331,400.0,1603
246643,400.0,1619
248173,400.0,1676
249606,400.0,1697
251014,400.0,1731
252435,400.0,1750
253848,400.0,1776
255276,400.0,1804
256727,400.0,1836
258117,500.0,1879
259700,500.0,1908
261152,500.0,1936
